evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.0031886785048038917,3.6232467291175146e-11,0.4796924995674869,0.05439055827708824,0.03336002889694201,0.0854105891128046,,0.011174544214771171,0.7620362195292438,0.03336002889694201,0.2664055944111921,0.18884671980890222,0.03336002889694201,1.3172242120654855e-07,0.36335418766405314,0.0854105891128046,0.011174544214771171,0.4796924995674869,0.36335418766405314,0.12929258395357346,0.7620362195292438,1.0112752137598311e-05,1.0,0.9196068309220428
gpt-4.1-mini,0.4796924995674869,0.05439055827708824,0.0016005802102081264,0.0016005802102081264,1.2796062450772919e-06,0.0016005802102081264,9.440274241692034e-20,,1.0875246615051457e-18,1.0,9.440274241692034e-20,1.10187438523874e-17,1.0,0.36335418766405314,9.904811308210189e-25,9.904811308210189e-25,2.378717289651507e-23,9.440274241692034e-20,3.9846743192350404e-14,2.378717289651507e-23,1.10187438523874e-17,0.00035453385598683347,2.378717289651507e-23,0.00035453385598683347
gpt-4o,0.019690184799846844,2.4575158375112673e-13,0.12929258395357346,0.7620362195292438,0.12929258395357346,0.2664055944111921,0.9196068309220428,0.12929258395357346,,0.00609262967206472,0.2664055944111921,0.2664055944111921,0.0007698826407272644,2.6402449757572137e-05,0.6137344676301395,0.7620362195292438,4.2159207369916054e-07,0.0854105891128046,0.2664055944111921,0.2664055944111921,0.9196068309220428,0.019690184799846844,1.0,0.4796924995674869
gpt-4.1,0.9196068309220428,1.0,1.0,0.011174544214771171,0.6137344676301395,0.9196068309220428,0.0854105891128046,1.0,0.0854105891128046,,0.4796924995674869,0.7620362195292438,0.9196068309220428,0.9196068309220428,0.03336002889694201,0.011174544214771171,9.440274241692034e-20,3.896413240891272e-08,3.6886460339466607e-06,3.896413240891272e-08,0.03336002889694201,1.0,0.6137344676301395,0.12929258395357346
haiku-3.5,0.05439055827708824,3.6886460339466607e-06,0.05439055827708824,0.00015615831700632914,0.9196068309220428,0.2664055944111921,0.12929258395357346,1.6606697571045604e-10,0.6137344676301395,2.6402449757572137e-05,,0.7620362195292438,0.011174544214771171,4.2159207369916054e-07,0.00015615831700632914,0.00609262967206472,9.940659465123946e-17,1.0112752137598311e-05,6.572240952992274e-05,0.011174544214771171,0.011174544214771171,3.896413240891272e-08,0.00035453385598683347,0.0854105891128046
sonnet-3.7,0.36335418766405314,4.2159207369916054e-07,0.18884671980890222,0.9196068309220428,0.6137344676301395,0.36335418766405314,0.00035453385598683347,0.00609262967206472,0.019690184799846844,0.12929258395357346,0.36335418766405314,,6.572240952992274e-05,1.2796062450772919e-06,3.6886460339466607e-06,2.6402449757572137e-05,3.896413240891272e-08,0.36335418766405314,0.4796924995674869,0.0007698826407272644,0.05439055827708824,0.00609262967206472,0.03336002889694201,7.127385901074282e-10
sonnet-4.5,0.9196068309220428,0.7620362195292438,0.18884671980890222,0.019690184799846844,1.0892545009628191e-08,0.0854105891128046,3.0620424897058794e-26,0.00015615831700632914,4.5236497809156325e-22,0.0007698826407272644,2.378717289651507e-23,1.0875246615051457e-18,,0.9196068309220428,2.378717289651507e-23,1.10187438523874e-17,3.0620424897058794e-26,4.5236497809156325e-22,1.10187438523874e-17,3.0620424897058794e-26,2.378717289651507e-23,1.0,9.440274241692034e-20,3.9846743192350404e-14
opus-4.1,2.4575158375112673e-13,0.05439055827708824,9.940659465123946e-17,1.0875246615051457e-18,9.904811308210189e-25,0.00035453385598683347,6.310887241768095e-30,1.0875246615051457e-18,6.310887241768095e-30,1.10187438523874e-17,9.904811308210189e-25,9.904811308210189e-25,1.0,,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,1.3172242120654855e-07,9.904811308210189e-25,9.904811308210189e-25
gemini-2.0-flash-lite,4.5236497809156325e-22,9.904811308210189e-25,2.378717289651507e-23,1.0875246615051457e-18,7.380354309112728e-12,3.0620424897058794e-26,0.05439055827708824,2.378717289651507e-23,0.12929258395357346,2.378717289651507e-23,3.6886460339466607e-06,0.12929258395357346,6.2477783693504135e-28,6.310887241768095e-30,,0.6137344676301395,1.0,0.00609262967206472,0.00609262967206472,3.6886460339466607e-06,0.36335418766405314,3.0620424897058794e-26,0.011174544214771171,4.2159207369916054e-07
gemini-2.0-flash,9.440274241692034e-20,9.904811308210189e-25,1.10187438523874e-17,9.940659465123946e-17,0.0031886785048038917,9.440274241692034e-20,0.2664055944111921,2.378717289651507e-23,0.0854105891128046,7.09532095861481e-21,0.05439055827708824,0.2664055944111921,9.904811308210189e-25,9.904811308210189e-25,0.36335418766405314,,0.18884671980890222,0.36335418766405314,0.03336002889694201,0.00035453385598683347,0.7620362195292438,9.904811308210189e-25,0.2664055944111921,0.019690184799846844
ll-3.1-8b,0.03336002889694201,0.019690184799846844,0.12929258395357346,0.00609262967206472,0.0854105891128046,0.019690184799846844,0.12929258395357346,0.011174544214771171,0.12929258395357346,0.0854105891128046,0.0854105891128046,0.18884671980890222,0.00609262967206472,0.03336002889694201,0.2664055944111921,0.2664055944111921,,0.12929258395357346,0.12929258395357346,0.2664055944111921,0.0854105891128046,0.0031886785048038917,0.12929258395357346,0.12929258395357346
ll-3.1-70b,0.36335418766405314,6.572240952992274e-05,0.12929258395357346,0.00609262967206472,0.0854105891128046,0.011174544214771171,0.6137344676301395,1.3172242120654855e-07,1.0,2.6402449757572137e-05,6.572240952992274e-05,0.019690184799846844,1.6606697571045604e-10,1.0892545009628191e-08,0.18884671980890222,0.18884671980890222,0.0854105891128046,,0.9196068309220428,6.572240952992274e-05,0.03336002889694201,1.3172242120654855e-07,0.18884671980890222,0.4796924995674869
ll-3.1-405b,0.00015615831700632914,1.0875246615051457e-18,6.572240952992274e-05,0.0031886785048038917,0.03336002889694201,0.00015615831700632914,0.4796924995674869,2.8720914669754686e-09,0.18884671980890222,7.127385901074282e-10,0.6137344676301395,0.4796924995674869,8.065094010420559e-16,1.0875246615051457e-18,0.0031886785048038917,0.2664055944111921,3.6886460339466607e-06,0.019690184799846844,,1.2796062450772919e-06,0.12929258395357346,3.9846743192350404e-14,0.03336002889694201,1.0112752137598311e-05
qwen-2.5-7b,0.9196068309220428,0.6137344676301395,0.7620362195292438,0.9196068309220428,0.6137344676301395,0.4796924995674869,0.9196068309220428,0.6137344676301395,0.9196068309220428,0.4796924995674869,0.9196068309220428,0.9196068309220428,0.9196068309220428,0.7620362195292438,0.6137344676301395,1.0,0.2664055944111921,0.9196068309220428,0.7620362195292438,,0.9196068309220428,0.36335418766405314,0.9196068309220428,0.7620362195292438
qwen-2.5-72b,1.0,0.12929258395357346,0.4796924995674869,0.6137344676301395,0.6137344676301395,0.4796924995674869,0.03336002889694201,1.3172242120654855e-07,0.9196068309220428,1.0112752137598311e-05,0.2664055944111921,0.18884671980890222,0.0016005802102081264,0.0007698826407272644,7.127385901074282e-10,1.0112752137598311e-05,1.0892545009628191e-08,6.572240952992274e-05,0.18884671980890222,0.12929258395357346,,0.03336002889694201,0.0016005802102081264,0.00015615831700632914
qwen-3.0-80b,9.940659465123946e-17,2.4575158375112673e-13,6.2477783693504135e-28,4.5236497809156325e-22,9.440274241692034e-20,4.5236497809156325e-22,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,6.310887241768095e-30,7.09532095861481e-21,4.5236497809156325e-22,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,,6.310887241768095e-30,9.940659465123946e-17
deepseek-3.1,4.5236497809156325e-22,9.940659465123946e-17,6.572240952992274e-05,2.6402449757572137e-05,0.00015615831700632914,5.9330047473754754e-15,1.0892545009628191e-08,1.0112752137598311e-05,7.127385901074282e-10,4.2159207369916054e-07,1.0112752137598311e-05,0.00609262967206472,7.380354309112728e-12,2.4575158375112673e-13,7.127385901074282e-10,0.00035453385598683347,7.09532095861481e-21,3.6232467291175146e-11,3.9846743192350404e-14,9.940659465123946e-17,3.6232467291175146e-11,4.5236497809156325e-22,,1.3172242120654855e-07
kimi-k2,0.12929258395357346,0.9196068309220428,0.9196068309220428,0.36335418766405314,3.6886460339466607e-06,0.4796924995674869,0.00015615831700632914,0.7620362195292438,0.0016005802102081264,0.6137344676301395,1.2796062450772919e-06,0.019690184799846844,0.7620362195292438,0.4796924995674869,7.127385901074282e-10,1.0112752137598311e-05,3.9846743192350404e-14,1.6606697571045604e-10,3.6886460339466607e-06,2.4575158375112673e-13,3.6886460339466607e-06,0.0854105891128046,6.572240952992274e-05,
