evaluator,deviation
gpt-4o-mini,-0.03301320528211288
gpt-4.1-mini,0.3091236494597839
gpt-4o,-0.016206482593037197
gpt-4.1,0.11224489795918369
haiku-3.5,0.037815126050420145
sonnet-3.7,0.04506832260614879
sonnet-4.5,0.3589334038700227
opus-4.1,0.4387653366431319
gemini-2.0-flash-lite,-0.16686674669867946
gemini-2.0-flash,-0.14585834333733494
ll-3.1-8b,-0.0918367346938776
ll-3.1-70b,-0.018607442977190913
ll-3.1-405b,-0.021008403361344574
qwen-2.5-7b,-0.00900360144057627
qwen-2.5-72b,0.03301320528211282
qwen-3.0-80b,0.4825930372148859
deepseek-3.1,0.08343337334933976
kimi-k2,0.16266506602641062
