evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
gpt-4.1-mini,98,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
gpt-4o,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
gpt-4.1,98,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98
haiku-3.5,98,98,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98,98
sonnet-3.7,98,98,98,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98
sonnet-4.5,98,98,98,98,98,98,0,98,98,98,98,98,98,98,98,98,98,98
opus-4.1,98,98,98,98,98,98,98,0,98,98,98,98,98,98,98,98,98,98
gemini-2.0-flash-lite,98,98,98,98,98,98,98,98,0,98,98,98,98,98,98,98,98,98
gemini-2.0-flash,98,98,98,98,98,98,98,98,98,0,98,98,98,98,98,98,98,98
ll-3.1-8b,98,98,98,98,98,98,98,98,98,98,0,98,98,98,98,98,98,98
ll-3.1-70b,98,98,98,98,98,98,98,98,98,98,98,0,98,98,98,98,98,98
ll-3.1-405b,98,98,98,98,98,98,98,98,98,98,98,98,0,98,98,98,98,98
qwen-2.5-7b,98,98,98,98,98,98,98,98,98,98,98,98,98,0,98,98,98,98
qwen-2.5-72b,98,98,98,98,98,98,98,98,98,98,98,98,98,98,0,98,98,98
qwen-3.0-80b,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,0,98,98
deepseek-3.1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,0,98
kimi-k2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,0
