evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.2959183673469388,0.010204081632653128,0.020408163265306145,0.02040816326530609,0.10826703562781037,0.3673469387755103,0.2346938775510204,0.05102040816326536,0.030612244897959107,0.05102040816326525,0.07142857142857151,0.09183673469387754,0.0714285714285714,0.09183673469387749,0.2755102040816326,0.2857142857142857,0.20408163265306123
gpt-4.1-mini,0.29591836734693877,,0.33673469387755106,0.0,0.11224489795918369,0.26249120337790277,0.19387755102040816,0.4693877551020409,0.010204081632652962,0.010204081632652962,0.32653061224489777,0.16326530612244894,0.0714285714285714,0.4285714285714284,0.14285714285714268,0.2755102040816325,0.23469387755102022,0.16326530612244894
gpt-4o,0.010204081632653073,0.3367346938775511,,0.05102040816326536,0.030612244897959162,0.06008109458472649,0.2755102040816326,0.2857142857142857,0.05102040816326536,0.0714285714285714,0.1734693877551019,0.09183673469387754,0.13265306122448972,0.05102040816326525,0.0,0.3775510204081632,0.30612244897959184,0.20408163265306123
gpt-4.1,0.020408163265306145,0.0,0.05102040816326536,,0.173469387755102,0.05653612796469942,0.16326530612244894,0.3979591836734693,0.34693877551020413,0.30612244897959184,0.33673469387755106,0.061224489795918324,0.07142857142857151,0.23469387755102034,0.11224489795918369,0.4591836734693876,0.22448979591836737,0.05102040816326525
haiku-3.5,0.020408163265306034,0.11224489795918371,0.030612244897959218,0.173469387755102,,0.02707636727007179,0.3265306122448978,0.2142857142857142,0.4285714285714286,0.24489795918367352,0.30612244897959184,0.4285714285714286,0.23469387755102045,0.12244897959183676,0.0714285714285714,0.2244897959183673,0.40816326530612246,0.33673469387755106
sonnet-3.7,0.10826703562781037,0.26249120337790277,0.060081094584726435,0.05653612796469937,0.027076367270071844,,0.21722587340020766,0.221872810918482,0.15306122448979587,0.1508549365692221,0.2028583363169829,0.07196562835660586,0.0031476997578692156,0.16317020750518285,0.030612244897959107,0.3567105659997989,0.2579814335262278,0.43233082706766934
sonnet-4.5,0.3673469387755103,0.19387755102040816,0.2755102040816326,0.16326530612244894,0.32653061224489777,0.21722587340020771,,0.010204081632653073,0.03061224489795944,0.061224489795918546,0.3365617433414043,0.13265306122448983,0.020408163265305923,0.4693877551020409,0.29591836734693866,0.43877551020408156,0.09183673469387754,0.346938775510204
opus-4.1,0.23469387755102034,0.4693877551020409,0.2857142857142857,0.3979591836734693,0.2142857142857142,0.221872810918482,0.010204081632653073,,0.0,0.030612244897959107,0.3877551020408163,0.2142857142857142,0.07142857142857117,0.47959183673469385,0.3265306122448979,0.7142857142857143,0.11224489795918358,0.4285714285714285
gemini-2.0-flash-lite,0.05102040816326536,0.010204081632652982,0.05102040816326531,0.34693877551020413,0.4285714285714286,0.15306122448979592,0.0306122448979594,0.0,,0.020408163265306034,0.061224489795918435,0.07142857142857151,0.010204081632652962,0.26530612244897966,0.3571428571428571,0.0204081632653061,0.17346938775510207,0.05102040816326525
gemini-2.0-flash,0.030612244897959162,0.010204081632652982,0.07142857142857145,0.30612244897959184,0.24489795918367352,0.15085493656922216,0.06122448979591855,0.0306122448979591,0.020408163265306034,,0.010204081632652962,0.02040816326530609,0.05102040816326536,0.18367346938775508,0.20408163265306117,0.0306122448979591,0.1224489795918367,0.10204081632653056
ll-3.1-8b,0.05102040816326531,0.3265306122448978,0.17346938775510196,0.336734693877551,0.3061224489795918,0.2028583363169829,0.3365617433414043,0.3877551020408163,0.06122448979591838,0.010204081632653017,,0.010204081632653017,0.15306122448979592,5.551115123125783e-17,0.1938775510204081,0.3469387755102041,0.35714285714285704,0.28571428571428564
ll-3.1-70b,0.07142857142857151,0.163265306122449,0.09183673469387754,0.061224489795918324,0.4285714285714286,0.0719656283566058,0.13265306122448986,0.2142857142857142,0.07142857142857151,0.020408163265306145,0.010204081632652962,,0.13265306122448983,0.2142857142857143,0.3163265306122449,0.2346938775510204,0.3979591836734694,0.3571428571428572
ll-3.1-405b,0.09183673469387754,0.07142857142857137,0.13265306122448972,0.07142857142857145,0.23469387755102045,0.0031476997578692156,0.02040816326530595,0.07142857142857122,0.010204081632652962,0.05102040816326536,0.15306122448979587,0.13265306122448983,,0.22448979591836737,0.15306122448979587,0.1326530612244898,0.47959183673469385,0.4591836734693878
qwen-2.5-7b,0.0714285714285714,0.4285714285714284,0.05102040816326525,0.23469387755102034,0.12244897959183676,0.16317020750518285,0.4693877551020409,0.4795918367346938,0.26530612244897966,0.18367346938775508,1.1102230246251565e-16,0.2142857142857143,0.22448979591836732,,0.0714285714285714,0.4489795918367347,0.3877551020408163,0.3367346938775509
qwen-2.5-72b,0.09183673469387754,0.14285714285714274,0.0,0.11224489795918369,0.07142857142857145,0.030612244897959107,0.2959183673469386,0.3265306122448979,0.3571428571428571,0.20408163265306123,0.19387755102040816,0.3163265306122449,0.15306122448979587,0.0714285714285714,,0.3877551020408163,0.4897959183673469,0.4285714285714286
qwen-3.0-80b,0.2755102040816326,0.2755102040816325,0.37755102040816313,0.4591836734693876,0.22448979591836726,0.3567105659997989,0.43877551020408156,0.7142857142857143,0.020408163265306145,0.030612244897959107,0.346938775510204,0.23469387755102034,0.13265306122448983,0.44897959183673475,0.3877551020408163,,0.05102040816326525,0.30612244897959184
deepseek-3.1,0.2857142857142857,0.23469387755102022,0.30612244897959184,0.22448979591836737,0.40816326530612246,0.2579814335262278,0.09183673469387751,0.11224489795918358,0.173469387755102,0.12244897959183665,0.357142857142857,0.3979591836734694,0.47959183673469385,0.3877551020408163,0.4897959183673469,0.0510204081632653,,0.06122448979591838
kimi-k2,0.20408163265306123,0.16326530612244888,0.20408163265306123,0.05102040816326525,0.33673469387755106,0.43233082706766934,0.34693877551020397,0.4285714285714285,0.05102040816326525,0.1020408163265305,0.2857142857142856,0.3571428571428572,0.4591836734693878,0.33673469387755095,0.4285714285714286,0.3061224489795918,0.061224489795918435,
