evaluator,deviation
gpt-4o-mini,0.027363089448303013
gpt-4.1-mini,0.00919108216438913
gpt-4o,0.001477956346110476
gpt-4.1,0.13541878497901472
haiku-3.5,-0.004541522491349537
sonnet-3.7,0.06615465310298663
sonnet-4.5,0.047771745615081684
opus-4.1,0.25020880563178616
gemini-2.0-flash-lite,-0.008687493023774973
gemini-2.0-flash,0.012489623969108243
ll-3.1-8b,-0.06492682369666025
ll-3.1-70b,0.054877192204181746
ll-3.1-405b,0.07192002769797778
qwen-2.5-7b,0.002227323810368831
qwen-2.5-72b,-0.0347739774642889
qwen-3.0-80b,0.01141836044762734
deepseek-3.1,0.015256928433203032
kimi-k2,0.056567258150984956
