evaluator,performance,n_samples
gpt-4o-mini,0.527363089448303,5178.0
gpt-4.1-mini,0.5091910821643891,2992.0
gpt-4o,0.5014779563461105,3346.0
gpt-4.1,0.6354187849790147,2964.0
haiku-3.5,0.49545847750865046,2448.0
sonnet-3.7,0.5661546531029866,2448.0
sonnet-4.5,0.5477717456150817,2448.0
opus-4.1,0.7502088056317862,2448.0
gemini-2.0-flash-lite,0.491312506976225,5048.0
gemini-2.0-flash,0.5124896239691082,4896.0
ll-3.1-8b,0.43507317630333975,3836.0
ll-3.1-70b,0.5548771922041817,3526.0
ll-3.1-405b,0.5719200276979778,3384.0
qwen-2.5-7b,0.5022273238103688,3776.0
qwen-2.5-72b,0.4652260225357111,3640.0
qwen-3.0-80b,0.5114183604476273,3738.0
deepseek-3.1,0.515256928433203,3346.0
kimi-k2,0.556567258150985,3700.0
