evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,98,310,310,310,310,310,310,310,310,310,310,310,310,272,272,272,272,272
gpt-4.1-mini,234,136,234,234,234,174,174,174,174,174,98,136,136,136,136,136,136,136
gpt-4o,234,234,136,234,234,234,234,234,234,174,174,174,174,98,136,136,136,136
gpt-4.1,234,174,174,136,174,174,174,174,174,174,174,174,174,174,98,136,136,136
haiku-3.5,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
sonnet-3.7,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
sonnet-4.5,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
opus-4.1,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
gemini-2.0-flash-lite,310,310,310,310,272,272,272,272,272,272,272,272,272,272,272,272,272,272
gemini-2.0-flash,310,310,310,272,272,272,158,272,272,272,272,272,272,272,272,272,272,272
ll-3.1-8b,234,234,234,234,234,234,234,234,234,234,136,234,234,234,174,174,174,136
ll-3.1-70b,234,234,234,234,234,234,234,234,234,234,234,136,136,136,136,136,136,136
ll-3.1-405b,234,234,234,234,234,234,234,234,174,174,174,174,136,136,136,136,136,136
qwen-2.5-7b,234,234,234,234,234,234,234,234,234,234,234,234,174,136,174,174,174,136
qwen-2.5-72b,234,234,234,234,234,234,234,234,234,234,234,174,174,174,136,136,136,136
qwen-3.0-80b,234,234,234,234,234,234,234,234,234,234,234,234,174,174,174,136,174,98
deepseek-3.1,234,234,234,234,234,234,234,234,174,174,174,174,98,136,136,136,136,136
kimi-k2,234,234,234,234,234,234,234,234,234,234,234,234,174,174,174,98,136,136
