evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.5510204081632653,0.3967741935483871,0.5645161290322581,0.3774193548387097,0.1870967741935484,0.3032258064516129,0.35161290322580646,0.21935483870967742,0.4838709677419355,0.5225806451612903,0.8483870967741935,0.7451612903225806,0.6806451612903226,0.5220588235294118,0.4963235294117647,0.47794117647058826,0.6066176470588235,0.7794117647058824
gpt-4.1-mini,0.0,1.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.23469387755102042,0.03676470588235294,0.0,0.014705882352941176,0.0,0.0,0.0,0.022058823529411766
gpt-4o,0.0,0.0,1.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.040229885057471264,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1,0.23504273504273504,0.0,0.27586206896551724,0.9926470588235294,0.43103448275862066,0.14942528735632185,0.017241379310344827,0.0,0.3505747126436782,0.27011494252873564,0.7586206896551724,0.42528735632183906,0.5,0.7126436781609196,0.4489795918367347,0.0,0.10294117647058823,0.051470588235294115
haiku-3.5,0.15441176470588236,0.11764705882352941,0.15441176470588236,0.08088235294117647,0.8455882352941176,0.125,0.20588235294117646,0.16176470588235295,0.11029411764705882,0.0661764705882353,0.40441176470588236,0.13970588235294118,0.11029411764705882,0.08088235294117647,0.11764705882352941,0.08088235294117647,0.11029411764705882,0.25
sonnet-3.7,0.6029411764705882,0.39705882352941174,0.5109190072425367,0.40441176470588236,0.5,0.6323529411764706,0.33088235294117646,0.3088235294117647,0.5220588235294118,0.5671906693711968,0.7720588235294118,0.49264705882352944,0.5147058823529411,0.6367685606843134,0.4117647058823529,0.33088235294117646,0.4264705882352941,0.7696740858505564
sonnet-4.5,0.5735294117647058,0.4264705882352941,0.5073529411764706,0.3602941176470588,0.5073529411764706,0.33088235294117646,0.5514705882352942,0.40441176470588236,0.5955882352941176,0.49264705882352944,0.9183569979716024,0.6397058823529411,0.5882352941176471,0.875,0.5955882352941176,0.47794117647058826,0.39705882352941174,0.5588235294117647
opus-4.1,0.8823529411764706,0.45588235294117646,0.8602941176470589,0.38235294117647056,0.7720588235294118,0.5147058823529411,0.18382352941176472,0.8676470588235294,0.5735294117647058,0.3897058823529412,0.9850405679513184,0.7205882352941176,0.7647058823529411,0.9705882352941176,0.8602941176470589,0.47058823529411764,0.36764705882352944,0.6029411764705882
gemini-2.0-flash-lite,0.2903225806451613,0.21935483870967742,0.2,0.16774193548387098,0.23529411764705882,0.17279411764705882,0.08088235294117647,0.09558823529411764,0.7683823529411765,0.2426470588235294,0.34191176470588236,0.16911764705882354,0.2610294117647059,0.21691176470588236,0.2867647058823529,0.25,0.15441176470588236,0.25735294117647056
gemini-2.0-flash,0.44193548387096776,0.4,0.44193548387096776,0.39705882352941174,0.4338235294117647,0.4411764705882353,0.379746835443038,0.4264705882352941,0.4007352941176471,0.5882352941176471,0.5367647058823529,0.4632352941176471,0.45955882352941174,0.45588235294117646,0.4411764705882353,0.4227941176470588,0.46691176470588236,0.41544117647058826
