evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.36335418766405314,0.00033107794393567863,0.026596525269063587,1.870830845823801e-05,5.5964476912041526e-30,3.3348902005920346e-12,1.936407880918652e-07,4.888367408093268e-24,0.6093065950924178,0.460356965785819,1.4168098308856995e-37,1.9557961192516856e-18,1.8501320393215207e-10,0.5048625638301028,0.9516655876680387,0.5048625638301028,0.0005245258121149356,4.5598677547373906e-21
gpt-4.1-mini,7.24454326306137e-71,2.2958874039497803e-41,7.24454326306137e-71,7.24454326306137e-71,1.702467666819422e-68,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,1.3172242120654855e-07,8.586304331238963e-33,2.2958874039497803e-41,2.1390782942600103e-37,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41,9.62796454058168e-36
gpt-4o,7.24454326306137e-71,7.24454326306137e-71,2.2958874039497803e-41,1.702467666819422e-68,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,8.352389719038111e-53,7.387689837903921e-41,1.4616682008316695e-50,8.352389719038111e-53,6.310887241768095e-30,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41
gpt-4.1,1.6616224036398731e-16,8.352389719038111e-53,2.901034782387625e-09,3.145365743411199e-39,0.08092659296355391,6.293762699390529e-22,7.334651031773318e-47,8.352389719038111e-53,9.902678209217013e-05,1.078577058580491e-09,4.960971192606209e-12,0.05774745529642935,1.0,1.9303154296651502e-08,0.36335418766405314,2.2958874039497803e-41,1.0997594280179854e-22,3.539726488449058e-30
haiku-3.5,6.8458063023136e-17,6.905764227013771e-21,6.8458063023136e-17,1.2237084238398533e-25,6.8458063023136e-17,4.927366714103603e-20,2.784955761611638e-12,3.622971399178644e-16,9.036446475272844e-22,8.260011277058911e-28,0.03167366339108274,2.0689342554664887e-18,9.036446475272844e-22,1.2237084238398533e-25,6.905764227013771e-21,1.2237084238398533e-25,9.036446475272844e-22,4.379138784366244e-09
sonnet-3.7,0.02026001125424602,0.02026001125424602,0.9317076151509971,0.03167366339108274,1.0,0.0025587348996300033,9.903994594073533e-05,9.669159852144027e-06,0.6682658523131814,0.14463646515752163,1.3263433165240426e-10,0.9317076151509971,0.7971023348689007,0.001418637741993395,0.04818269594614997,9.903994594073533e-05,0.10291318499743221,1.3263433165240426e-10
sonnet-4.5,0.10291318499743221,0.10291318499743221,0.9317076151509971,0.001418637741993395,0.9317076151509971,9.903994594073533e-05,0.2648929904058216,0.03167366339108274,0.03167366339108274,0.9317076151509971,1.2237084238398533e-25,0.001418637741993395,0.04818269594614997,4.927366714103603e-20,0.03167366339108274,0.6682658523131814,0.02026001125424602,0.19818134136296922
opus-4.1,6.905764227013771e-21,0.34559256586088544,2.0689342554664887e-18,0.0076238271738663125,1.3263433165240426e-10,0.7971023348689007,3.939677440745631e-14,3.293725808504054e-19,0.10291318499743221,0.012604512869782388,2.1390782942600103e-37,2.729862604765941e-07,4.4262639384791036e-10,3.22645350186508e-34,2.0689342554664887e-18,0.5485023614867373,0.0025587348996300033,0.02026001125424602
gemini-2.0-flash-lite,1.025450729056357e-13,4.888367408093268e-24,1.6886155387874653e-27,5.656759948949374e-34,6.074341116051612e-19,5.0085018409588803e-29,3.9022177864527475e-50,4.228216943142752e-46,1.8438819708648809e-19,6.2070236710521655e-18,2.0390199452082042e-07,1.0347229701300424e-29,1.4724028813795946e-15,1.274033474575264e-21,1.422291640170512e-12,5.8616527181575e-17,1.4491729930888656e-32,5.123981911174019e-16
gemini-2.0-flash,0.0466516323170761,0.000510929312754032,0.0466516323170761,0.0008217570096467994,0.03363033869200844,0.05995633763733989,0.0031196232899818725,0.01788106073057891,0.0012689672518048068,0.004289106026909291,0.24925604204750515,0.24925604204750515,0.20282181715237954,0.16302105295655864,0.05995633763733989,0.01277552556725827,0.302637119485996,0.006257663455187059
