evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.08163265306122448,0.3979591836734694,0.02040816326530612,0.35714285714285715,0.29591836734693877,0.08163265306122448,0.01020408163265306,0.673469387755102,0.7040816326530612,0.7755102040816326,0.6836734693877551,0.5408163265306123,0.5408163265306123,0.3877551020408163,0.0,0.5306122448979592,0.2653061224489796
gpt-4.1-mini,0.9897959183673469,,1.0,0.47959183673469385,1.0,0.9795918367346939,0.41836734693877553,0.5,1.0,0.9897959183673469,1.0,0.9693877551020408,1.0,1.0,1.0,0.16326530612244897,1.0,0.8571428571428571
gpt-4o,0.5816326530612245,0.20408163265306123,,0.24489795918367346,0.40816326530612246,0.3877551020408163,0.1836734693877551,0.12244897959183673,0.6530612244897959,0.6020408163265306,0.7755102040816326,0.6224489795918368,0.5612244897959183,0.6122448979591837,0.5102040816326531,0.1326530612244898,0.5,0.41836734693877553
gpt-4.1,0.9897959183673469,0.41836734693877553,0.9897959183673469,,1.0,0.9693877551020408,0.3673469387755102,0.3469387755102041,0.9897959183673469,0.9897959183673469,1.0,1.0,0.9795918367346939,1.0,0.9795918367346939,0.20408163265306123,0.9591836734693877,0.6836734693877551
haiku-3.5,0.5510204081632653,0.030612244897959183,0.5102040816326531,0.04081632653061224,,0.5102040816326531,0.10204081632653061,0.02040816326530612,0.6938775510204082,0.7346938775510204,0.9285714285714286,0.8673469387755102,0.7857142857142857,0.7448979591836735,0.5918367346938775,0.02040816326530612,0.6224489795918368,0.24489795918367346
sonnet-3.7,0.6578144078144078,0.08919855550583314,0.5737509797660173,0.15272415272415274,0.6525667116800122,,0.12755102040816327,0.15928818184457283,0.8192295410340524,0.7936700103770321,0.8455988455988456,0.6807874665017521,0.5968433111290254,0.799893983567453,0.5102040816326531,0.12228995494301616,0.5972525571972129,0.4153949868235583
sonnet-4.5,1.0,0.6836734693877551,1.0,0.6224489795918368,1.0,0.9693877551020408,,0.5816326530612245,1.0,0.9897959183673469,1.0,0.9897959183673469,1.0,0.9897959183673469,0.9897959183673469,0.3469387755102041,0.9795918367346939,0.7653061224489796
opus-4.1,0.9591836734693877,0.6836734693877551,0.9489795918367347,0.5612244897959183,0.9387755102040817,0.8775510204081632,0.5714285714285714,,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,0.9387755102040817,0.3673469387755102,0.9591836734693877,0.7346938775510204
gemini-2.0-flash-lite,0.37755102040816324,0.0,0.3469387755102041,0.02040816326530612,0.5918367346938775,0.40816326530612246,0.05102040816326531,0.02040816326530612,,0.47959183673469385,0.4489795918367347,0.35714285714285715,0.37755102040816324,0.6122448979591837,0.4489795918367347,0.01020408163265306,0.3979591836734694,0.2653061224489796
gemini-2.0-flash,0.336734693877551,0.04081632653061224,0.37755102040816324,0.04081632653061224,0.6224489795918368,0.42857142857142855,0.05102040816326531,0.030612244897959183,0.5612244897959183,,0.5918367346938775,0.4897959183673469,0.37755102040816324,0.6224489795918368,0.3877551020408163,0.030612244897959183,0.3877551020408163,0.2653061224489796
