evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0/0,53/45,70/28,49/49,56/42,54/44,55/43,48/50,67/31,56/42,63/35,58/40,72/26,58/40,61/37,49/49,61/37,65/33
gpt-4.1-mini,48/50,0/0,49/49,44/54,49/49,49/49,34/64,42/56,49/49,48/50,49/49,46/52,49/49,49/49,49/49,43/55,49/49,39/59
gpt-4o,90/8,69/29,0/0,73/25,79/19,81/17,65/33,61/37,81/17,78/20,67/31,76/22,78/20,75/23,77/21,62/36,78/20,74/24
gpt-4.1,50/48,86/12,50/48,0/0,49/49,52/46,65/33,71/27,50/48,50/48,49/49,49/49,51/47,49/49,51/47,61/37,51/47,56/42
haiku-3.5,43/55,48/50,39/59,47/51,0/0,45/53,43/55,47/51,31/67,33/65,46/52,46/52,44/54,46/52,45/53,49/49,36/62,31/67
sonnet-3.7,20/68,34/56,21/73,32/59,16/79,0/0,35/59,31/63,28/66,28/69,29/62,17/74,15/74,33/57,16/74,32/58,15/79,21/70
sonnet-4.5,49/49,36/62,49/49,30/68,49/49,46/52,0/0,24/74,49/49,48/50,48/48,48/50,49/49,48/50,48/50,27/71,47/51,34/64
opus-4.1,53/45,52/46,54/44,50/48,53/45,53/45,29/69,0/0,49/49,49/49,48/48,49/49,49/49,49/49,49/49,33/65,49/49,39/59
gemini-2.0-flash-lite,14/84,49/49,19/79,47/51,17/81,11/87,44/54,47/51,0/0,20/78,25/73,18/80,24/74,19/79,13/85,48/50,20/78,25/73
gemini-2.0-flash,30/68,45/53,30/68,45/53,34/64,31/67,44/54,46/52,36/62,0/0,27/71,21/77,26/72,34/64,23/75,46/52,27/71,29/69
ll-3.1-8b,76/22,64/34,80/18,66/32,75/23,78/20,63/35,61/37,79/19,80/18,0/0,78/20,84/14,80/18,79/19,56/42,75/23,69/29
ll-3.1-70b,73/25,51/47,77/21,51/47,73/25,74/24,51/47,51/47,68/30,67/31,65/33,0/0,73/25,71/27,70/28,51/47,72/26,60/38
ll-3.1-405b,65/33,51/47,61/37,49/49,46/52,49/49,49/49,48/50,50/48,52/46,57/41,53/45,0/0,51/47,52/46,49/49,50/48,48/50
qwen-2.5-7b,93/5,70/28,90/8,74/24,89/9,90/8,87/11,79/19,85/13,85/13,72/26,83/15,88/10,0/0,90/8,69/29,85/13,83/15
qwen-2.5-72b,52/46,50/48,57/41,50/48,50/48,50/48,51/47,48/50,45/53,47/51,51/47,48/50,52/46,54/44,0/0,49/49,52/46,51/47
qwen-3.0-80b,49/49,44/54,49/49,43/55,49/49,49/49,35/63,36/62,49/49,49/49,49/49,49/49,49/49,49/49,49/49,0/0,49/49,43/55
deepseek-3.1,47/51,39/59,46/52,43/55,45/53,36/62,45/53,44/54,46/52,44/54,50/48,49/49,50/48,46/52,36/62,49/49,0/0,50/48
kimi-k2,55/43,58/40,52/46,60/38,51/47,53/45,58/40,62/36,50/48,54/44,49/49,51/47,54/44,50/48,53/45,48/50,54/44,0/0
