evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.5408163265306123,0.7142857142857143,0.5,0.5714285714285714,0.5510204081632653,0.5612244897959183,0.4897959183673469,0.6836734693877551,0.5714285714285714,0.6428571428571429,0.5918367346938775,0.7346938775510204,0.5918367346938775,0.6224489795918368,0.5,0.6224489795918368,0.6632653061224489
gpt-4.1-mini,0.4897959183673469,,0.5,0.4489795918367347,0.5,0.5,0.3469387755102041,0.42857142857142855,0.5,0.4897959183673469,0.5,0.46938775510204084,0.5,0.5,0.5,0.4387755102040816,0.5,0.3979591836734694
gpt-4o,0.9183673469387755,0.7040816326530612,,0.7448979591836735,0.8061224489795918,0.826530612244898,0.6632653061224489,0.6224489795918368,0.826530612244898,0.7959183673469388,0.6836734693877551,0.7755102040816326,0.7959183673469388,0.7653061224489796,0.7857142857142857,0.6326530612244898,0.7959183673469388,0.7551020408163265
gpt-4.1,0.5102040816326531,0.8775510204081632,0.5102040816326531,,0.5,0.5306122448979592,0.6632653061224489,0.7244897959183674,0.5102040816326531,0.5102040816326531,0.5,0.5,0.5204081632653061,0.5,0.5204081632653061,0.6224489795918368,0.5204081632653061,0.5714285714285714
haiku-3.5,0.4387755102040816,0.4897959183673469,0.3979591836734694,0.47959183673469385,,0.45918367346938777,0.4387755102040816,0.47959183673469385,0.3163265306122449,0.336734693877551,0.46938775510204084,0.46938775510204084,0.4489795918367347,0.46938775510204084,0.45918367346938777,0.5,0.3673469387755102,0.3163265306122449
sonnet-3.7,0.22727272727272727,0.37777777777777777,0.22340425531914893,0.3516483516483517,0.16842105263157894,,0.3723404255319149,0.32978723404255317,0.2978723404255319,0.28865979381443296,0.31868131868131866,0.18681318681318682,0.16853932584269662,0.36666666666666664,0.17777777777777778,0.35555555555555557,0.1595744680851064,0.23076923076923078
sonnet-4.5,0.5,0.3673469387755102,0.5,0.30612244897959184,0.5,0.46938775510204084,,0.24489795918367346,0.5,0.4897959183673469,0.5,0.4897959183673469,0.5,0.4897959183673469,0.4897959183673469,0.2755102040816326,0.47959183673469385,0.3469387755102041
opus-4.1,0.5408163265306123,0.5306122448979592,0.5510204081632653,0.5102040816326531,0.5408163265306123,0.5408163265306123,0.29591836734693877,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.336734693877551,0.5,0.3979591836734694
gemini-2.0-flash-lite,0.14285714285714285,0.5,0.19387755102040816,0.47959183673469385,0.17346938775510204,0.11224489795918367,0.4489795918367347,0.47959183673469385,,0.20408163265306123,0.25510204081632654,0.1836734693877551,0.24489795918367346,0.19387755102040816,0.1326530612244898,0.4897959183673469,0.20408163265306123,0.25510204081632654
gemini-2.0-flash,0.30612244897959184,0.45918367346938777,0.30612244897959184,0.45918367346938777,0.3469387755102041,0.3163265306122449,0.4489795918367347,0.46938775510204084,0.3673469387755102,,0.2755102040816326,0.21428571428571427,0.2653061224489796,0.3469387755102041,0.23469387755102042,0.46938775510204084,0.2755102040816326,0.29591836734693877
ll-3.1-8b,0.7755102040816326,0.6530612244897959,0.8163265306122449,0.673469387755102,0.7653061224489796,0.7959183673469388,0.6428571428571429,0.6224489795918368,0.8061224489795918,0.8163265306122449,,0.7959183673469388,0.8571428571428571,0.8163265306122449,0.8061224489795918,0.5714285714285714,0.7653061224489796,0.7040816326530612
