evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,1.0875246615051457e-18,0.05439055827708824,3.0620424897058794e-26,0.00609262967206472,6.572240952992274e-05,1.0875246615051457e-18,6.2477783693504135e-28,0.0007698826407272644,6.572240952992274e-05,3.896413240891272e-08,0.00035453385598683347,0.4796924995674869,0.4796924995674869,0.03336002889694201,6.310887241768095e-30,0.6137344676301395,3.6886460339466607e-06
gpt-4.1-mini,6.2477783693504135e-28,,6.310887241768095e-30,0.7620362195292438,6.310887241768095e-30,3.0620424897058794e-26,0.12929258395357346,1.0,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,9.904811308210189e-25,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,7.380354309112728e-12,6.310887241768095e-30,2.4575158375112673e-13
gpt-4o,0.12929258395357346,2.8720914669754686e-09,,4.2159207369916054e-07,0.0854105891128046,0.03336002889694201,1.6606697571045604e-10,5.9330047473754754e-15,0.0031886785048038917,0.05439055827708824,3.896413240891272e-08,0.019690184799846844,0.2664055944111921,0.03336002889694201,0.9196068309220428,3.9846743192350404e-14,1.0,0.12929258395357346
gpt-4.1,6.2477783693504135e-28,0.12929258395357346,6.2477783693504135e-28,,6.310887241768095e-30,9.904811308210189e-25,0.011174544214771171,0.0031886785048038917,6.2477783693504135e-28,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,3.0620424897058794e-26,6.310887241768095e-30,3.0620424897058794e-26,2.8720914669754686e-09,2.378717289651507e-23,0.00035453385598683347
haiku-3.5,0.36335418766405314,9.904811308210189e-25,0.9196068309220428,2.378717289651507e-23,,0.9196068309220428,9.940659465123946e-17,3.0620424897058794e-26,0.00015615831700632914,3.6886460339466607e-06,9.440274241692034e-20,3.9846743192350404e-14,1.0892545009628191e-08,1.2796062450772919e-06,0.0854105891128046,3.0620424897058794e-26,0.019690184799846844,4.2159207369916054e-07
sonnet-3.7,0.0031886785048038917,1.10187438523874e-17,0.18884671980890222,1.3988186908802743e-12,0.0031886785048038917,,5.9330047473754754e-15,7.380354309112728e-12,1.6606697571045604e-10,2.8720914669754686e-09,1.3988186908802743e-12,0.00035453385598683347,0.0854105891128046,2.8720914669754686e-09,0.9196068309220428,5.9330047473754754e-15,0.05439055827708824,0.12929258395357346
sonnet-4.5,6.310887241768095e-30,0.00035453385598683347,6.310887241768095e-30,0.019690184799846844,6.310887241768095e-30,9.904811308210189e-25,,0.12929258395357346,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.2477783693504135e-28,6.2477783693504135e-28,0.0031886785048038917,3.0620424897058794e-26,1.3172242120654855e-07
opus-4.1,2.378717289651507e-23,0.00035453385598683347,4.5236497809156325e-22,0.2664055944111921,7.09532095861481e-21,5.9330047473754754e-15,0.18884671980890222,,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,3.0620424897058794e-26,7.09532095861481e-21,0.011174544214771171,2.378717289651507e-23,3.6886460339466607e-06
gemini-2.0-flash-lite,0.019690184799846844,6.310887241768095e-30,0.0031886785048038917,3.0620424897058794e-26,0.0854105891128046,0.0854105891128046,4.5236497809156325e-22,3.0620424897058794e-26,,0.7620362195292438,0.36335418766405314,0.00609262967206472,0.019690184799846844,0.03336002889694201,0.36335418766405314,6.2477783693504135e-28,0.05439055827708824,3.6886460339466607e-06
gemini-2.0-flash,0.0016005802102081264,2.378717289651507e-23,0.019690184799846844,2.378717289651507e-23,0.019690184799846844,0.18884671980890222,4.5236497809156325e-22,9.904811308210189e-25,0.2664055944111921,,0.0854105891128046,0.9196068309220428,0.019690184799846844,0.019690184799846844,0.03336002889694201,9.904811308210189e-25,0.03336002889694201,3.6886460339466607e-06
