evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.07142857142857122,0.020408163265306145,0.010204081632652916,0.09183673469387765,0.046267224838653476,0.0816326530612244,0.0306122448979594,0.05102040816326514,0.04081632653061229,0.13265306122448972,0.010204081632652962,0.09183673469387754,0.030612244897959218,0.010204081632653073,0.0,0.3673469387755103,0.20408163265306117
gpt-4.1-mini,0.07142857142857117,,0.20408163265306123,0.10204081632653078,0.030612244897959107,0.06879039224052708,0.10204081632653056,0.18367346938775508,0.0,0.030612244897958996,0.15306122448979587,0.010204081632653073,0.020408163265306145,0.2142857142857142,0.010204081632652962,0.09183673469387751,0.10204081632653061,0.3163265306122448
gpt-4o,0.020408163265306145,0.2040816326530612,,0.23469387755102022,0.08163265306122452,0.03849391819316639,0.1836734693877551,0.07142857142857145,1.1102230246251565e-16,0.020408163265306256,0.13265306122448972,0.030612244897959218,0.11224489795918358,0.0714285714285714,0.020408163265306145,0.1326530612244898,0.2857142857142857,0.38775510204081626
gpt-4.1,0.010204081632652962,0.10204081632653067,0.23469387755102022,,0.04081632653061218,0.12211190782619352,0.010204081632653017,0.0918367346938776,0.010204081632652962,0.030612244897958996,0.173469387755102,0.020408163265306145,1.1102230246251565e-16,0.2551020408163265,0.010204081632653073,0.12244897959183684,0.04081632653061196,0.1428571428571428
haiku-3.5,0.09183673469387765,0.0306122448979591,0.08163265306122447,0.0408163265306122,,0.1627707933126653,0.1020408163265306,0.04081632653061233,0.2857142857142857,0.3571428571428572,0.2551020408163265,0.19387755102040805,0.36734693877551017,0.2551020408163266,0.13265306122448983,0.0204081632653061,0.4387755102040817,0.204081632653061
sonnet-3.7,0.04626722483865342,0.06879039224052706,0.03849391819316639,0.1221119078261935,0.1627707933126653,,0.096938775510204,0.03683920225273604,0.2273928063401749,0.2222414389484606,0.18233353947639663,0.03793032364460924,0.10704739276167852,0.299893983567453,0.010204081632653073,0.1222899549430161,0.1788852102584374,0.29294600723172154
sonnet-4.5,0.08163265306122436,0.1020408163265305,0.18367346938775508,0.010204081632653073,0.10204081632653061,0.09693877551020402,,0.15306122448979587,0.05102040816326525,0.04081632653061207,0.1428571428571428,0.030612244897958996,0.04081632653061218,0.37755102040816313,0.05102040816326514,0.18367346938775514,0.020408163265306145,0.22448979591836726
opus-4.1,0.03061224489795944,0.18367346938775508,0.0714285714285714,0.09183673469387765,0.04081632653061229,0.03683920225273607,0.15306122448979587,,0.020408163265306145,0.030612244897959107,0.12244897959183665,0.020408163265306145,0.030612244897959107,0.2857142857142857,0.051020408163265474,0.2346938775510204,0.01020408163265285,0.19387755102040816
gemini-2.0-flash-lite,0.051020408163265196,0.0,5.551115123125783e-17,0.010204081632652916,0.2857142857142857,0.22739280634017484,0.0510204081632653,0.0204081632653061,,0.040816326530612124,0.10204081632653056,0.08163265306122458,0.06122448979591827,0.12244897959183676,0.3469387755102041,0.010204081632653,0.24489795918367352,0.2551020408163264
gemini-2.0-flash,0.040816326530612235,0.030612244897959016,0.0204081632653062,0.030612244897959016,0.3571428571428572,0.2222414389484606,0.04081632653061212,0.0306122448979591,0.04081632653061218,,0.030612244897959107,0.12244897959183676,5.551115123125783e-17,0.173469387755102,0.22448979591836737,0.0306122448979591,0.173469387755102,0.21428571428571436
ll-3.1-8b,0.13265306122448972,0.1530612244897959,0.13265306122448972,0.173469387755102,0.2551020408163265,0.18233353947639658,0.1428571428571428,0.1224489795918367,0.10204081632653056,0.030612244897959162,,0.030612244897959273,0.13265306122448983,0.163265306122449,0.20408163265306123,0.0714285714285714,0.35714285714285704,0.2040816326530612
ll-3.1-70b,0.010204081632652962,0.010204081632653118,0.030612244897959162,0.0204081632653061,0.19387755102040805,0.03793032364460924,0.030612244897959016,0.0204081632653061,0.08163265306122458,0.12244897959183676,0.03061224489795933,,0.06122448979591838,0.1428571428571428,0.18367346938775508,0.0204081632653061,0.35714285714285726,0.23469387755102022
ll-3.1-405b,0.09183673469387754,0.0204081632653061,0.11224489795918358,6.591949208711867e-17,0.36734693877551017,0.10704739276167852,0.0408163265306122,0.0306122448979591,0.06122448979591821,1.1102230246251565e-16,0.13265306122448983,0.061224489795918324,,0.23469387755102034,0.10204081632653056,0.0,0.4285714285714285,0.24489795918367352
qwen-2.5-7b,0.030612244897959218,0.2142857142857142,0.0714285714285714,0.2551020408163265,0.2551020408163266,0.299893983567453,0.37755102040816313,0.28571428571428575,0.12244897959183676,0.173469387755102,0.16326530612244894,0.1428571428571428,0.23469387755102028,,0.18367346938775503,0.2040816326530612,0.5204081632653061,0.4591836734693876
qwen-2.5-72b,0.010204081632653073,0.010204081632653,0.020408163265306145,0.010204081632653034,0.13265306122448983,0.010204081632653128,0.05102040816326511,0.05102040816326543,0.34693877551020413,0.22448979591836737,0.20408163265306123,0.18367346938775508,0.1020408163265305,0.18367346938775508,,0.0204081632653061,0.4897959183673469,0.20408163265306117
qwen-3.0-80b,0.0,0.09183673469387754,0.13265306122448983,0.12244897959183687,0.020408163265306145,0.12228995494301609,0.18367346938775508,0.23469387755102034,0.010204081632652962,0.030612244897959107,0.0714285714285714,0.020408163265306145,0.0,0.20408163265306123,0.020408163265306145,,0.0,0.010204081632652962
deepseek-3.1,0.3673469387755103,0.1020408163265306,0.2857142857142857,0.040816326530612,0.4387755102040817,0.1788852102584374,0.020408163265306166,0.010204081632652899,0.24489795918367352,0.173469387755102,0.357142857142857,0.3571428571428572,0.4285714285714285,0.5204081632653061,0.4897959183673469,0.0,,0.04081632653061221
kimi-k2,0.20408163265306123,0.3163265306122448,0.3877551020408162,0.1428571428571428,0.204081632653061,0.2929460072317215,0.22448979591836726,0.19387755102040816,0.2551020408163265,0.2142857142857144,0.20408163265306123,0.23469387755102022,0.24489795918367352,0.4591836734693876,0.20408163265306123,0.01020408163265299,0.04081632653061218,
