evaluator,performance,n_samples
gpt-4o-mini,0.5066026410564226,1764.0
gpt-4.1-mini,0.5183073229291717,1764.0
gpt-4o,0.5009003601440576,1764.0
gpt-4.1,0.6386554621848739,1764.0
haiku-3.5,0.5048019207683073,1764.0
sonnet-3.7,0.5440839643232465,1764.0
sonnet-4.5,0.5706317009562445,1764.0
opus-4.1,0.6130521173986836,1764.0
gemini-2.0-flash-lite,0.5024009603841536,1764.0
gemini-2.0-flash,0.5009003601440577,1764.0
ll-3.1-8b,0.3922569027611044,1764.0
ll-3.1-70b,0.44417767106842737,1764.0
ll-3.1-405b,0.5444177671068428,1764.0
qwen-2.5-7b,0.5042016806722689,1764.0
qwen-2.5-72b,0.5099039615846338,1764.0
qwen-3.0-80b,0.5102040816326531,1764.0
deepseek-3.1,0.5138055222088835,1764.0
kimi-k2,0.5744297719087634,1764.0
