evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.030612244897959183,0.0,0.01020408163265306,0.0,0.0,0.0,0.0
gpt-4.1-mini,0.01020408163265306,1.0,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.01020408163265306,0.0,0.04081632653061224,0.01020408163265306,0.3163265306122449,0.05102040816326531,0.01020408163265306,0.09183673469387756,0.0,0.0,0.02040816326530612,0.01020408163265306
gpt-4o,0.0,0.0,0.9897959183673469,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.15306122448979592,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.0,0.0
gpt-4.1,0.21428571428571427,0.0,0.24489795918367346,1.0,0.5,0.14285714285714285,0.0,0.0,0.3877551020408163,0.29591836734693877,0.7551020408163265,0.42857142857142855,0.41836734693877553,0.7142857142857143,0.42857142857142855,0.0,0.1326530612244898,0.05102040816326531
haiku-3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sonnet-3.7,0.05102040816326531,0.0,0.04081632653061224,0.0,0.030612244897959183,1.0,0.0,0.0,0.15306122448979592,0.1456897921788963,0.5980629539951574,0.16326530612244897,0.061224489795918366,0.15306122448979592,0.030612244897959183,0.0,0.05102040816326531,0.02040816326530612
sonnet-4.5,0.12244897959183673,0.0,0.04081632653061224,0.0,0.30612244897959184,0.04081632653061224,0.9591836734693877,0.0,0.29591836734693877,0.14285714285714285,0.707600281491907,0.23469387755102042,0.17346938775510204,0.7244897959183674,0.14285714285714285,0.02040816326530612,0.04081632653061224,0.10204081632653061
opus-4.1,0.23469387755102042,0.030612244897959183,0.22448979591836735,0.0,0.14285714285714285,0.030612244897959183,0.04081632653061224,0.9897959183673469,0.2653061224489796,0.09183673469387756,0.8233638282899367,0.47959183673469385,0.3469387755102041,0.7857142857142857,0.3163265306122449,0.01020408163265306,0.09183673469387756,0.10204081632653061
gemini-2.0-flash-lite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-2.0-flash,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.0,0.02040816326530612,0.9795918367346939,0.21428571428571427,0.04081632653061224,0.0,0.05102040816326531,0.030612244897959183,0.0,0.0,0.0
ll-3.1-8b,0.24489795918367346,0.05102040816326531,0.1326530612244898,0.05102040816326531,0.20408163265306123,0.25510204081632654,0.14285714285714285,0.05102040816326531,0.3673469387755102,0.32653061224489793,0.5714285714285714,0.3877551020408163,0.32653061224489793,0.30612244897959184,0.2653061224489796,0.061224489795918366,0.29591836734693877,0.15306122448979592
ll-3.1-70b,1.0,0.673469387755102,1.0,0.8163265306122449,1.0,1.0,0.8061224489795918,0.7142857142857143,0.9897959183673469,1.0,0.9897959183673469,0.0,1.0,1.0,1.0,0.17346938775510204,1.0,0.9387755102040817
ll-3.1-405b,0.336734693877551,0.0,0.4387755102040816,0.0,0.2857142857142857,0.47959183673469385,0.0,0.0,0.3673469387755102,0.22448979591836735,0.5,0.20408163265306123,0.8163265306122449,0.7551020408163265,0.5204081632653061,0.01020408163265306,0.3469387755102041,0.16326530612244897
qwen-2.5-7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.02040816326530612,0.0,1.0,0.0,0.0,0.0,0.0
qwen-2.5-72b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.2653061224489796,0.04081632653061224,0.0,0.0,1.0,0.0,0.0,0.0
qwen-3.0-80b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.24489795918367346,0.04081632653061224,0.0,0.02040816326530612,0.02040816326530612,1.0,0.0,0.0
deepseek-3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979591836734694,0.05102040816326531,0.0,0.0,0.02040816326530612,0.0,1.0,0.0
kimi-k2,0.14285714285714285,0.04081632653061224,0.12244897959183673,0.02040816326530612,0.15306122448979592,0.09183673469387756,0.030612244897959183,0.02040816326530612,0.25510204081632654,0.16326530612244897,0.6122448979591837,0.32653061224489793,0.32653061224489793,0.4489795918367347,0.12244897959183673,0.02040816326530612,0.15306122448979592,0.9693877551020408
