evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,1.6606697571045604e-10,9.904811308210189e-25,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30
gpt-4.1-mini,6.2477783693504135e-28,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,9.904811308210189e-25,6.2477783693504135e-28,6.2477783693504135e-28,6.310887241768095e-30,2.378717289651507e-23,6.2477783693504135e-28,0.00035453385598683347,4.5236497809156325e-22,6.2477783693504135e-28,1.10187438523874e-17,6.310887241768095e-30,6.310887241768095e-30,3.0620424897058794e-26,6.2477783693504135e-28
gpt-4o,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,1.3988186908802743e-12,3.0620424897058794e-26,6.310887241768095e-30,3.0620424897058794e-26,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30
gpt-4.1,1.0892545009628191e-08,6.310887241768095e-30,4.2159207369916054e-07,6.310887241768095e-30,1.0,2.4575158375112673e-13,6.310887241768095e-30,6.310887241768095e-30,0.03336002889694201,6.572240952992274e-05,4.2159207369916054e-07,0.18884671980890222,0.12929258395357346,2.6402449757572137e-05,0.18884671980890222,6.310887241768095e-30,3.9846743192350404e-14,4.5236497809156325e-22
haiku-3.5,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,7.380354309112728e-12,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30
sonnet-3.7,4.5236497809156325e-22,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,9.904811308210189e-25,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,1.3988186908802743e-12,2.4575158375112673e-13,0.05439055827708824,7.380354309112728e-12,7.09532095861481e-21,1.3988186908802743e-12,9.904811308210189e-25,6.310887241768095e-30,4.5236497809156325e-22,3.0620424897058794e-26
sonnet-4.5,5.9330047473754754e-15,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,0.00015615831700632914,2.378717289651507e-23,2.378717289651507e-23,6.310887241768095e-30,6.572240952992274e-05,2.4575158375112673e-13,6.572240952992274e-05,1.3172242120654855e-07,3.6232467291175146e-11,1.0112752137598311e-05,2.4575158375112673e-13,3.0620424897058794e-26,2.378717289651507e-23,9.940659465123946e-17
opus-4.1,1.3172242120654855e-07,9.904811308210189e-25,3.896413240891272e-08,6.310887241768095e-30,2.4575158375112673e-13,9.904811308210189e-25,2.378717289651507e-23,6.2477783693504135e-28,3.6886460339466607e-06,1.10187438523874e-17,3.6232467291175146e-11,0.7620362195292438,0.0031886785048038917,1.0892545009628191e-08,0.00035453385598683347,6.2477783693504135e-28,1.10187438523874e-17,9.940659465123946e-17
gemini-2.0-flash-lite,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,1.0875246615051457e-18,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30
gemini-2.0-flash,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,3.0620424897058794e-26,3.0620424897058794e-26,1.0892545009628191e-08,2.378717289651507e-23,6.310887241768095e-30,4.5236497809156325e-22,9.904811308210189e-25,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30
ll-3.1-8b,4.2159207369916054e-07,4.5236497809156325e-22,3.9846743192350404e-14,4.5236497809156325e-22,2.8720914669754686e-09,1.2796062450772919e-06,2.4575158375112673e-13,4.5236497809156325e-22,0.011174544214771171,0.0007698826407272644,0.18884671980890222,0.03336002889694201,0.0007698826407272644,0.00015615831700632914,3.6886460339466607e-06,7.09532095861481e-21,6.572240952992274e-05,1.3988186908802743e-12
