evaluator,performance,n_samples
gpt-oss-120b-thinking,0.5344713717818328,2352.0
opus-4.1-thinking,0.6628216503992901,2352.0
gemini-2.5-pro-thinking,0.5355969191636104,2352.0
qwen-3.0-80b-thinking,0.4929311392528357,2352.0
deepseek-r1-thinking,0.5181958799971222,2352.0
kimi-k2-thinking,0.5333409699042834,2352.0
gpt-4o-mini,0.5164538185540696,5766.0
gpt-4.1-mini,0.5079025478641847,3580.0
gpt-4o,0.501979713963008,3934.0
gpt-4.1,0.6075625248754021,3552.0
haiku-3.5,0.4838228769768777,3036.0
sonnet-3.7,0.5639561198567463,3036.0
sonnet-4.5,0.5413576225092736,3036.0
opus-4.1,0.7366619811342827,3036.0
gemini-2.0-flash-lite,0.48998715545124083,5636.0
gemini-2.0-flash,0.5118672981380312,5484.0
ll-3.1-8b,0.4217833002574035,4424.0
ll-3.1-70b,0.5269516111907415,4114.0
ll-3.1-405b,0.5486825780171755,3972.0
qwen-2.5-7b,0.5025335942626772,4364.0
qwen-2.5-72b,0.45171019912981913,4228.0
qwen-3.0-80b,0.509326969168477,4326.0
deepseek-3.1,0.505391897465556,3934.0
kimi-k2,0.5486415753784696,4288.0
