evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.3684210526315789,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.4473684210526316,0.2631578947368421,0.23684210526315788,0.5,0.4473684210526316,0.2894736842105263,0.4342105263157895,0.5263157894736842,0.5526315789473685,0.5263157894736842,0.5526315789473685,0.5263157894736842,0.2894736842105263,0.47368421052631576
gpt-4.1-mini,0.8947368421052632,,0.7894736842105263,0.5,0.7894736842105263,0.631578947368421,0.4473684210526316,0.5,0.7105263157894737,0.7894736842105263,0.47368421052631576,0.5789473684210527,0.8157894736842105,0.9210526315789473,0.7105263157894737,0.8421052631578947,0.868421052631579,0.3684210526315789,0.7105263157894737
gpt-4o,0.5263157894736842,0.42105263157894735,,0.42105263157894735,0.5,0.47368421052631576,0.39473684210526316,0.39473684210526316,0.6052631578947368,0.5526315789473685,0.42105263157894735,0.5,0.7105263157894737,0.5789473684210527,0.5526315789473685,0.5,0.5,0.4473684210526316,0.5526315789473685
gpt-4.1,0.5526315789473685,0.5,0.5263157894736842,,0.5,0.5,0.5,0.5,0.5789473684210527,0.5526315789473685,0.5,0.5,0.7631578947368421,0.631578947368421,0.6052631578947368,0.631578947368421,0.5263157894736842,0.5,0.5263157894736842
haiku-3.5,0.5526315789473685,0.5,0.5526315789473685,0.42105263157894735,,0.5,0.4473684210526316,0.21052631578947367,0.7105263157894737,0.6578947368421053,0.39473684210526316,0.39473684210526316,0.7631578947368421,0.7894736842105263,0.5526315789473685,0.631578947368421,0.5263157894736842,0.3684210526315789,0.47368421052631576
sonnet-3.7,0.6,0.6111111111111112,0.6666666666666666,0.6388888888888888,0.5277777777777778,,0.5263157894736842,0.5405405405405406,0.6857142857142857,0.7222222222222222,0.6216216216216216,0.6756756756756757,0.6666666666666666,0.6388888888888888,0.6111111111111112,0.6388888888888888,0.5,0.6666666666666666,0.6
sonnet-4.5,0.9736842105263158,0.7105263157894737,0.8157894736842105,0.7105263157894737,0.8421052631578947,0.7105263157894737,,0.5789473684210527,0.8421052631578947,0.7894736842105263,0.6052631578947368,0.631578947368421,0.972972972972973,0.8157894736842105,0.7631578947368421,1.0,0.8947368421052632,0.7631578947368421,0.868421052631579
opus-4.1,0.9736842105263158,0.868421052631579,0.9736842105263158,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.5263157894736842,,0.9736842105263158,0.9736842105263158,0.8157894736842105,0.7894736842105263,1.0,0.9473684210526315,1.0,1.0,1.0,0.8421052631578947,0.9736842105263158
gemini-2.0-flash-lite,0.5526315789473685,0.34210526315789475,0.4473684210526316,0.3684210526315789,0.6052631578947368,0.39473684210526316,0.2894736842105263,0.18421052631578946,,0.39473684210526316,0.3157894736842105,0.34210526315789475,0.631578947368421,0.5,0.631578947368421,0.631578947368421,0.5526315789473685,0.34210526315789475,0.5263157894736842
gemini-2.0-flash,0.2894736842105263,0.13157894736842105,0.2631578947368421,0.10526315789473684,0.34210526315789475,0.21052631578947367,0.07894736842105263,0.0,0.5,,0.13157894736842105,0.15789473684210525,0.6052631578947368,0.3684210526315789,0.3684210526315789,0.5263157894736842,0.39473684210526316,0.13157894736842105,0.34210526315789475
