evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,-0.5263157894736843,-0.10526315789473684,-0.23684210526315796,-0.2894736842105264,-0.1526315789473684,-0.7105263157894737,-0.736842105263158,-0.052631578947368474,0.15789473684210525,-0.6842105263157895,-0.5657894736842105,0.10526315789473684,0.026315789473684292,-0.026315789473684292,0.052631578947368474,-0.1842105263157895,-0.7105263157894737,-0.2894736842105264
gpt-4.1-mini,0.5263157894736843,,0.368421052631579,0.0,0.2894736842105263,0.020467836257309857,-0.2631578947368421,-0.368421052631579,0.3684210526315789,0.6578947368421053,-0.2368421052631579,-0.1578947368421052,0.3684210526315789,0.5,0.34210526315789475,0.3684210526315789,0.605263157894737,-0.3947368421052632,0.4736842105263158
gpt-4o,0.10526315789473684,-0.368421052631579,,-0.10526315789473684,-0.052631578947368474,-0.19298245614035087,-0.42105263157894735,-0.5789473684210527,0.15789473684210525,0.2894736842105264,-0.5263157894736842,-0.5,0.2368421052631579,0.07894736842105265,-0.02631578947368418,0.0,-0.052631578947368474,-0.5526315789473684,-0.23684210526315785
gpt-4.1,0.23684210526315796,0.0,0.10526315789473684,,0.07894736842105265,-0.13888888888888884,-0.21052631578947367,-0.39473684210526316,0.21052631578947373,0.44736842105263164,-0.13157894736842102,-0.26315789473684215,0.31578947368421056,0.15789473684210525,0.2894736842105263,0.15789473684210525,0.0789473684210526,-0.23684210526315785,0.21052631578947367
haiku-3.5,0.2894736842105264,-0.2894736842105263,0.052631578947368474,-0.07894736842105265,,-0.02777777777777779,-0.3947368421052631,-0.7368421052631579,0.10526315789473684,0.31578947368421056,-0.6052631578947368,-0.6052631578947368,0.3421052631578948,0.21052631578947367,0.26315789473684215,0.13157894736842102,0.02631578947368418,-0.5263157894736843,-0.34210526315789475
sonnet-3.7,0.1526315789473684,-0.020467836257309857,0.19298245614035087,0.13888888888888884,0.02777777777777779,,-0.1842105263157895,-0.3541963015647226,0.29097744360902256,0.5116959064327485,-0.3520625889046942,-0.29800853485064016,0.21929824561403505,0.16520467836257308,0.29532163742690065,0.13888888888888884,0.07894736842105265,-0.2807017543859649,0.09999999999999998
sonnet-4.5,0.7105263157894737,0.2631578947368421,0.42105263157894735,0.21052631578947367,0.3947368421052631,0.1842105263157895,,0.052631578947368474,0.5526315789473684,0.7105263157894737,0.2631578947368421,0.05263157894736836,0.5519203413940257,0.4473684210526316,0.5263157894736843,0.5,0.4736842105263158,0.0,0.7894736842105263
opus-4.1,0.736842105263158,0.368421052631579,0.5789473684210527,0.39473684210526316,0.7368421052631579,0.3541963015647226,-0.052631578947368474,,0.7894736842105263,0.9736842105263158,0.39473684210526316,0.21052631578947367,0.5263157894736843,0.5263157894736842,0.7105263157894737,0.5,0.6052631578947368,0.10526315789473684,0.8421052631578948
gemini-2.0-flash-lite,0.052631578947368474,-0.3684210526315789,-0.15789473684210525,-0.21052631578947373,-0.10526315789473684,-0.29097744360902256,-0.5526315789473684,-0.7894736842105263,,-0.10526315789473684,-0.6578947368421053,-0.6578947368421053,0.15789473684210525,0.0,0.04824561403508765,0.13157894736842102,-0.23684210526315785,-0.6578947368421053,-0.10526315789473684
gemini-2.0-flash,-0.15789473684210525,-0.6578947368421053,-0.2894736842105264,-0.44736842105263164,-0.31578947368421056,-0.5116959064327485,-0.7105263157894737,-0.9736842105263158,0.10526315789473684,,-0.7894736842105263,-0.7894736842105263,0.10526315789473684,-0.13157894736842107,-0.13157894736842107,0.02631578947368418,-0.2894736842105263,-0.868421052631579,-0.2631578947368421
gemini-2.5-flash,0.6842105263157895,0.2368421052631579,0.5263157894736842,0.13157894736842102,0.6052631578947368,0.3520625889046942,-0.2631578947368421,-0.39473684210526316,0.6578947368421053,0.7894736842105263,,0.1578947368421052,0.4473684210526316,0.3947368421052631,0.4210526315789474,0.5,0.5263157894736843,-0.368421052631579,0.7894736842105263
gemini-2.5-pro,0.5657894736842105,0.1578947368421052,0.5,0.26315789473684215,0.6052631578947368,0.29800853485064016,-0.05263157894736836,-0.21052631578947367,0.6578947368421053,0.7894736842105263,-0.1578947368421052,,0.5526315789473684,0.5526315789473684,0.5833333333333333,0.5,0.5526315789473684,-0.13157894736842102,0.7105263157894737
ll-3.1-8b,-0.10526315789473684,-0.3684210526315789,-0.2368421052631579,-0.31578947368421056,-0.3421052631578948,-0.21929824561403505,-0.5519203413940257,-0.5263157894736843,-0.15789473684210525,-0.10526315789473684,-0.4473684210526316,-0.5526315789473684,,-0.07894736842105265,-0.23684210526315785,-0.026315789473684237,-0.3947368421052632,-0.5789473684210527,-0.49999999999999994
ll-3.1-70b,-0.026315789473684292,-0.5,-0.07894736842105265,-0.15789473684210525,-0.21052631578947367,-0.16520467836257308,-0.4473684210526316,-0.5263157894736842,0.0,0.13157894736842107,-0.3947368421052631,-0.5526315789473684,0.07894736842105265,,-0.1578947368421053,0.10526315789473684,-0.2894736842105263,-0.5263157894736843,-0.3421052631578947
ll-3.1-405b,0.026315789473684292,-0.34210526315789475,0.02631578947368418,-0.2894736842105263,-0.26315789473684215,-0.29532163742690065,-0.5263157894736843,-0.7105263157894737,-0.04824561403508765,0.13157894736842107,-0.4210526315789474,-0.5833333333333333,0.23684210526315785,0.1578947368421053,,0.10526315789473684,-0.05263157894736836,-0.7631578947368421,-0.2894736842105263
qwen-2.5-7b,-0.052631578947368474,-0.3684210526315789,0.0,-0.15789473684210525,-0.13157894736842102,-0.13888888888888884,-0.5,-0.5,-0.13157894736842102,-0.02631578947368418,-0.5,-0.5,0.026315789473684237,-0.10526315789473684,-0.10526315789473684,,-0.1842105263157895,-0.5,-0.39473684210526316
qwen-2.5-72b,0.1842105263157895,-0.605263157894737,0.052631578947368474,-0.0789473684210526,-0.02631578947368418,-0.07894736842105265,-0.4736842105263158,-0.6052631578947368,0.23684210526315785,0.2894736842105263,-0.5263157894736843,-0.5526315789473684,0.3947368421052632,0.2894736842105263,0.05263157894736836,0.1842105263157895,,-0.5263157894736843,-0.10526315789473684
qwen-3.0-80b,0.7105263157894737,0.3947368421052632,0.5526315789473684,0.23684210526315785,0.5263157894736843,0.2807017543859649,0.0,-0.10526315789473684,0.6578947368421053,0.868421052631579,0.368421052631579,0.13157894736842102,0.5789473684210527,0.5263157894736843,0.7631578947368421,0.5,0.5263157894736843,,0.9210526315789473
deepseek-3.1,0.2894736842105264,-0.4736842105263158,0.23684210526315785,-0.21052631578947367,0.34210526315789475,-0.09999999999999998,-0.7894736842105263,-0.8421052631578948,0.10526315789473684,0.2631578947368421,-0.7894736842105263,-0.7105263157894737,0.49999999999999994,0.3421052631578947,0.2894736842105263,0.39473684210526316,0.10526315789473684,-0.9210526315789473,
