,row_mean,col_mean,difference
opus-4.1,0.9108187134502924,0.39406511774932823,0.5167535957009641
qwen-3.0-80b,0.915204678362573,0.4463937621832359,0.4688109161793371
sonnet-4.5,0.7938201359253991,0.3991228070175438,0.3946973289078553
gemini-2.5-pro,0.8786549707602339,0.5043991359780834,0.3742558347821505
gemini-2.5-flash,0.8128654970760233,0.4687450608503241,0.3441204362256992
gpt-4.1-mini,0.6856725146198831,0.4930149447693307,0.19265756985055238
gpt-4.1,0.5497076023391814,0.4989441195581546,0.05076348278102677
sonnet-3.7,0.6188198223285942,0.5730994152046783,0.045720407123915896
haiku-3.5,0.5248538011695907,0.6287361923326835,-0.10388239116309284
qwen-2.5-72b,0.5687134502923977,0.6739766081871345,-0.10526315789473673
deepseek-3.1,0.5409356725146198,0.6502923976608187,-0.10935672514619887
gpt-4o,0.5029239766081871,0.6554580896686159,-0.15253411306042874
ll-3.1-405b,0.4532163742690058,0.6699155295646523,-0.21669915529564648
ll-3.1-70b,0.49122807017543857,0.7167803768680963,-0.2255523066926577
qwen-2.5-7b,0.4970760233918129,0.734324236517219,-0.23724821312540612
gemini-2.0-flash-lite,0.4473684210526316,0.6976956279587858,-0.25032720690615423
gpt-4o-mini,0.4130116959064327,0.6868421052631579,-0.2738304093567252
ll-3.1-8b,0.4590643274853801,0.7782255940150676,-0.3191612665296875
gemini-2.0-flash,0.2748538011695907,0.6687784275503573,-0.39392462638076664
