evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,-0.5789473684210527,-0.052631578947368474,-0.13157894736842107,0.0,-0.3947368421052632,-0.631578947368421,-0.631578947368421,-0.13157894736842113,-0.15789473684210525,-0.6052631578947367,-0.631578947368421,0.26315789473684215,0.07894736842105271,-0.026315789473684292,0.0,-0.07894736842105271,-0.7368421052631579,-0.34210526315789475
gpt-4.1-mini,0.5789473684210527,,0.6842105263157895,0.02631578947368418,0.5,0.3157894736842105,-0.3947368421052632,-0.13157894736842113,0.7105263157894737,0.7105263157894737,-0.2631578947368421,-0.26315789473684215,0.7894736842105263,0.5526315789473684,0.5,0.4736842105263158,0.631578947368421,-0.23684210526315796,0.868421052631579
gpt-4o,0.052631578947368474,-0.6842105263157895,,-0.1842105263157895,-0.07894736842105271,-0.1842105263157895,-0.5,-0.5,0.05263157894736836,0.0,-0.5789473684210527,-0.5789473684210527,0.3684210526315789,0.10526315789473689,0.052631578947368474,0.13157894736842102,0.15789473684210525,-0.5263157894736843,-0.18421052631578955
gpt-4.1,0.13157894736842107,-0.02631578947368418,0.1842105263157895,,0.02631578947368418,-0.07894736842105265,-0.4473684210526315,-0.39473684210526316,0.31578947368421056,0.368421052631579,-0.1842105263157895,-0.4473684210526315,0.6052631578947368,0.2368421052631579,0.2368421052631579,0.1578947368421053,0.18421052631578955,-0.13157894736842102,0.368421052631579
haiku-3.5,0.0,-0.5,0.07894736842105271,-0.02631578947368418,,-0.13157894736842102,-0.42105263157894735,-0.49999999999999994,-0.21052631578947367,0.07894736842105265,-0.5,-0.5,0.47368421052631576,0.10526315789473689,0.10526315789473684,0.02631578947368418,-0.026315789473684292,-0.31578947368421056,-0.26315789473684215
sonnet-3.7,0.3947368421052632,-0.3157894736842105,0.1842105263157895,0.07894736842105265,0.13157894736842102,,-0.3157894736842105,-0.3421052631578948,0.4473684210526316,0.4473684210526316,-0.4473684210526315,-0.3157894736842105,0.6052631578947368,0.3947368421052631,0.26315789473684215,0.4473684210526315,0.15789473684210525,-0.10526315789473684,0.23684210526315796
sonnet-4.5,0.631578947368421,0.3947368421052632,0.5,0.4473684210526315,0.42105263157894735,0.3157894736842105,,-0.02631578947368418,0.763157894736842,0.763157894736842,0.39473684210526316,0.02631578947368418,0.7361308677098152,0.47368421052631576,0.34210526315789475,0.5,0.5526315789473684,0.2894736842105263,0.8947368421052632
opus-4.1,0.631578947368421,0.13157894736842113,0.5,0.39473684210526316,0.49999999999999994,0.3421052631578948,0.02631578947368418,,0.868421052631579,0.9473684210526316,0.31578947368421056,0.13157894736842102,0.736842105263158,0.5263157894736842,0.49999999999999994,0.5,0.5,0.21052631578947367,0.8157894736842105
gemini-2.0-flash-lite,0.13157894736842113,-0.7105263157894737,-0.05263157894736836,-0.31578947368421056,0.21052631578947367,-0.4473684210526316,-0.763157894736842,-0.868421052631579,,-0.13157894736842113,-0.7368421052631579,-0.7105263157894737,0.368421052631579,0.02631578947368418,0.05263157894736836,0.26315789473684215,0.1842105263157895,-0.6578947368421053,-0.07894736842105265
gemini-2.0-flash,0.15789473684210525,-0.7105263157894737,0.0,-0.368421052631579,-0.07894736842105265,-0.4473684210526316,-0.763157894736842,-0.9473684210526316,0.13157894736842113,,-0.5789473684210527,-0.7105263157894737,0.1842105263157895,0.0,-0.02631578947368418,0.13157894736842102,0.0,-0.6842105263157894,0.07894736842105265
gemini-2.5-flash,0.6052631578947367,0.2631578947368421,0.5789473684210527,0.1842105263157895,0.5,0.4473684210526315,-0.39473684210526316,-0.31578947368421056,0.7368421052631579,0.5789473684210527,,-0.02631578947368418,0.6842105263157894,0.4736842105263158,0.34210526315789475,0.4736842105263158,0.5263157894736842,-0.21052631578947367,0.6578947368421053
gemini-2.5-pro,0.631578947368421,0.26315789473684215,0.5789473684210527,0.4473684210526315,0.5,0.3157894736842105,-0.02631578947368418,-0.13157894736842102,0.7105263157894737,0.7105263157894737,0.02631578947368418,,0.6578947368421053,0.6052631578947368,0.5789473684210527,0.5,0.6052631578947368,0.18421052631578938,0.763157894736842
ll-3.1-8b,-0.26315789473684215,-0.7894736842105263,-0.3684210526315789,-0.6052631578947368,-0.47368421052631576,-0.6052631578947368,-0.7361308677098152,-0.736842105263158,-0.368421052631579,-0.1842105263157895,-0.6842105263157894,-0.6578947368421053,,-0.0789473684210526,-0.26315789473684215,-0.10526315789473684,-0.39473684210526316,-0.868421052631579,-0.5789473684210527
ll-3.1-70b,-0.07894736842105271,-0.5526315789473684,-0.10526315789473689,-0.2368421052631579,-0.10526315789473689,-0.3947368421052631,-0.47368421052631576,-0.5263157894736842,-0.02631578947368418,0.0,-0.4736842105263158,-0.6052631578947368,0.0789473684210526,,-0.07894736842105271,0.02631578947368418,-0.18421052631578955,-0.47368421052631576,-0.2894736842105263
ll-3.1-405b,0.026315789473684292,-0.5,-0.052631578947368474,-0.2368421052631579,-0.10526315789473684,-0.26315789473684215,-0.34210526315789475,-0.49999999999999994,-0.05263157894736836,0.02631578947368418,-0.34210526315789475,-0.5789473684210527,0.26315789473684215,0.07894736842105271,,0.07894736842105265,0.07894736842105271,-0.39473684210526316,-0.26315789473684215
qwen-2.5-7b,0.0,-0.4736842105263158,-0.13157894736842102,-0.1578947368421053,-0.02631578947368418,-0.4473684210526315,-0.5,-0.5,-0.26315789473684215,-0.13157894736842102,-0.4736842105263158,-0.5,0.10526315789473684,-0.02631578947368418,-0.07894736842105265,,-0.13157894736842102,-0.47368421052631576,-0.39473684210526316
qwen-2.5-72b,0.07894736842105271,-0.631578947368421,-0.15789473684210525,-0.18421052631578955,0.026315789473684292,-0.15789473684210525,-0.5526315789473684,-0.5,-0.1842105263157895,0.0,-0.5263157894736842,-0.6052631578947368,0.39473684210526316,0.18421052631578955,-0.07894736842105271,0.13157894736842102,,-0.39473684210526316,-0.26315789473684204
qwen-3.0-80b,0.7368421052631579,0.23684210526315796,0.5263157894736843,0.13157894736842102,0.31578947368421056,0.10526315789473684,-0.2894736842105263,-0.21052631578947367,0.6578947368421053,0.6842105263157894,0.21052631578947367,-0.18421052631578938,0.868421052631579,0.47368421052631576,0.39473684210526316,0.47368421052631576,0.39473684210526316,,0.7368421052631579
deepseek-3.1,0.34210526315789475,-0.868421052631579,0.18421052631578955,-0.368421052631579,0.26315789473684215,-0.23684210526315796,-0.8947368421052632,-0.8157894736842105,0.07894736842105265,-0.07894736842105265,-0.6578947368421053,-0.763157894736842,0.5789473684210527,0.2894736842105263,0.26315789473684215,0.39473684210526316,0.26315789473684204,-0.7368421052631579,
