,row_mean,col_mean,difference
opus-4.1,0.8874269005847952,0.41081871345029236,0.47660818713450287
sonnet-4.5,0.8727675043464518,0.4049707602339181,0.4677967441125337
gemini-2.5-pro,0.9195906432748537,0.47953216374269,0.44005847953216376
qwen-3.0-80b,0.8070175438596491,0.4590643274853801,0.34795321637426896
gemini-2.5-flash,0.8055555555555557,0.466374269005848,0.3391812865497077
gpt-4.1-mini,0.7982456140350878,0.4619883040935673,0.3362573099415205
sonnet-3.7,0.7032163742690059,0.5950292397660819,0.10818713450292394
gpt-4.1,0.5789473684210525,0.5175438596491229,0.06140350877192968
haiku-3.5,0.5233918128654972,0.6637426900584795,-0.14035087719298234
deepseek-3.1,0.5175438596491229,0.6710526315789473,-0.15350877192982448
ll-3.1-405b,0.5087719298245614,0.6798245614035087,-0.17105263157894723
gpt-4o,0.4970760233918128,0.6681286549707602,-0.17105263157894746
qwen-2.5-72b,0.5029239766081872,0.6929824561403508,-0.1900584795321636
gemini-2.0-flash-lite,0.4649122807017544,0.7002923976608186,-0.23538011695906425
ll-3.1-70b,0.4590643274853801,0.7090643274853802,-0.25000000000000006
qwen-2.5-7b,0.4985380116959064,0.7543859649122807,-0.2558479532163743
gemini-2.0-flash,0.4181286549707603,0.6754385964912282,-0.2573099415204679
gpt-4o-mini,0.4444444444444444,0.7105263157894737,-0.26608187134502925
ll-3.1-8b,0.32602339181286555,0.8128259838786155,-0.48680259206574994
