evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,0.4594594594594595,0.23684210526315788,0.39473684210526316,0.4473684210526316,0.23684210526315788,0.23684210526315788,0.39473684210526316,0.5526315789473685,0.42105263157894735
gpt-oss-120b-thinking,0.5428571428571428,,0.13157894736842105,0.15789473684210525,0.23684210526315788,0.18421052631578946,0.02631578947368421,0.2702702702702703,0.5263157894736842,0.23684210526315788
sonnet-3.7-thinking,0.5428571428571428,0.5882352941176471,,0.45454545454545453,0.4,0.4375,0.48484848484848486,0.4864864864864865,0.38235294117647056,0.4411764705882353
sonnet-4.5-thinking,0.631578947368421,0.5263157894736842,0.5263157894736842,,0.4473684210526316,0.8421052631578947,0.7368421052631579,0.5,0.7368421052631579,0.5789473684210527
opus-4.1-thinking,0.5789473684210527,0.5526315789473685,0.5,0.5,,0.631578947368421,0.6052631578947368,0.42105263157894735,0.47368421052631576,0.5
gemini-2.5-flash-thinking,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2894736842105263,0.23684210526315788,,0.2631578947368421,0.18421052631578946,0.47368421052631576,0.18421052631578946
gemini-2.5-pro-thinking,0.21052631578947367,0.39473684210526316,0.3684210526315789,0.23684210526315788,0.3157894736842105,0.6842105263157895,,0.21052631578947367,0.43243243243243246,0.21052631578947367
ll-3.3-70b-dsR1-thinking,0.6842105263157895,0.7894736842105263,0.4473684210526316,0.6842105263157895,0.631578947368421,0.631578947368421,0.34210526315789475,,0.6578947368421053,0.47368421052631576
qwen-3.0-80b-thinking,0.5263157894736842,0.5526315789473685,0.5,0.5,0.5,0.5526315789473685,0.631578947368421,0.4473684210526316,,0.39473684210526316
deepseek-r1-thinking,0.7105263157894737,0.7368421052631579,0.6052631578947368,0.7105263157894737,0.7368421052631579,0.8421052631578947,0.5,0.6578947368421053,0.6842105263157895,
