evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,-0.08339768339768333,-0.30601503759398496,-0.23684210526315785,-0.13157894736842107,0.02631578947368421,0.02631578947368421,-0.2894736842105263,0.026315789473684292,-0.2894736842105263
gpt-oss-120b-thinking,0.08339768339768333,,-0.45665634674922606,-0.3684210526315789,-0.3157894736842106,-0.18421052631578946,-0.368421052631579,-0.519203413940256,-0.026315789473684292,-0.5
sonnet-3.7-thinking,0.30601503759398496,0.45665634674922606,,-0.07177033492822965,-0.09999999999999998,0.14802631578947367,0.11642743221690594,0.03911806543385493,-0.11764705882352944,-0.16408668730650156
sonnet-4.5-thinking,0.23684210526315785,0.3684210526315789,0.07177033492822965,,-0.05263157894736842,0.5526315789473684,0.5,-0.1842105263157895,0.23684210526315785,-0.13157894736842102
opus-4.1-thinking,0.13157894736842107,0.3157894736842106,0.09999999999999998,0.05263157894736842,,0.39473684210526316,0.2894736842105263,-0.21052631578947367,-0.026315789473684237,-0.23684210526315785
gemini-2.5-flash-thinking,-0.02631578947368421,0.18421052631578946,-0.14802631578947367,-0.5526315789473684,-0.39473684210526316,,-0.4210526315789474,-0.4473684210526315,-0.07894736842105271,-0.6578947368421052
gemini-2.5-pro-thinking,-0.02631578947368421,0.368421052631579,-0.11642743221690594,-0.5,-0.2894736842105263,0.4210526315789474,,-0.13157894736842107,-0.19914651493598856,-0.2894736842105263
ll-3.3-70b-dsR1-thinking,0.2894736842105263,0.519203413940256,-0.03911806543385493,0.1842105263157895,0.21052631578947367,0.4473684210526315,0.13157894736842107,,0.21052631578947373,-0.18421052631578955
qwen-3.0-80b-thinking,-0.026315789473684292,0.026315789473684292,0.11764705882352944,-0.23684210526315785,0.026315789473684237,0.07894736842105271,0.19914651493598856,-0.21052631578947373,,-0.2894736842105263
deepseek-r1-thinking,0.2894736842105263,0.5,0.16408668730650156,0.13157894736842102,0.23684210526315785,0.6578947368421052,0.2894736842105263,0.18421052631578955,0.2894736842105263,
