,row_mean,col_mean,difference
deepseek-r1-thinking,0.6871345029239766,0.38235294117647056,0.30478156174750604
ll-3.3-70b-dsR1-thinking,0.5935672514619884,0.3969495811601075,0.19661767030188093
sonnet-4.5-thinking,0.6140350877192982,0.43646996278575223,0.17756512493354593
opus-4.1-thinking,0.5292397660818714,0.4391812865497076,0.09005847953216378
sonnet-3.7-thinking,0.4686669194022135,0.40058479532163743,0.06808212408057607
qwen-3.0-80b-thinking,0.5116959064327485,0.54667205905596,-0.03497615262321141
gemini-2.5-pro-thinking,0.3404457088667615,0.42521708311182,-0.08477137424505848
gpt-oss-20b-thinking,0.375612454559823,0.5153717627401837,-0.1397593081803607
gemini-2.5-flash-thinking,0.2777777777777778,0.5603070175438596,-0.2825292397660818
gpt-oss-120b-thinking,0.257014157014157,0.552083042795117,-0.29506888578096
