evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,0.39473684210526316,0.5526315789473685,0.6052631578947368,0.6052631578947368,0.4473684210526316,0.5263157894736842,0.7631578947368421,0.6842105263157895,0.631578947368421
gpt-oss-120b-thinking,0.6216216216216216,,0.5526315789473685,0.5263157894736842,0.7105263157894737,0.7368421052631579,0.6052631578947368,0.8421052631578947,0.8157894736842105,0.8157894736842105
sonnet-3.7-thinking,0.5714285714285714,0.5714285714285714,,0.47058823529411764,0.5277777777777778,0.4857142857142857,0.5757575757575758,0.6176470588235294,0.5588235294117647,0.5882352941176471
sonnet-4.5-thinking,0.5789473684210527,0.3684210526315789,0.6052631578947368,,0.5,0.7894736842105263,0.631578947368421,0.8421052631578947,0.6052631578947368,0.6578947368421053
opus-4.1-thinking,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5
gemini-2.5-flash-thinking,0.5526315789473685,0.42105263157894735,0.868421052631579,0.34210526315789475,0.34210526315789475,,0.7368421052631579,0.9736842105263158,0.7894736842105263,0.8947368421052632
gemini-2.5-pro-thinking,0.8421052631578947,0.5263157894736842,0.7894736842105263,0.5263157894736842,0.5526315789473685,0.4473684210526316,,1.0,0.7105263157894737,0.868421052631579
ll-3.3-70b-dsR1-thinking,0.21052631578947367,0.21052631578947367,0.18421052631578946,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.10526315789473684,,0.5,0.21052631578947367
qwen-3.0-80b-thinking,0.3684210526315789,0.23684210526315788,0.3684210526315789,0.18421052631578946,0.42105263157894735,0.3157894736842105,0.34210526315789475,0.5789473684210527,,0.47368421052631576
deepseek-r1-thinking,0.39473684210526316,0.2894736842105263,0.42105263157894735,0.34210526315789475,0.23684210526315788,0.2894736842105263,0.2894736842105263,0.8947368421052632,0.5789473684210527,
