evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,-0.22688477951635844,-0.018796992481202923,0.02631578947368418,0.10526315789473684,-0.10526315789473689,-0.3157894736842105,0.5526315789473685,0.31578947368421056,0.23684210526315785
gpt-oss-120b-thinking,0.22688477951635844,,-0.018796992481202923,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.07894736842105265,0.631578947368421,0.5789473684210527,0.5263157894736842
sonnet-3.7-thinking,0.018796992481202923,0.018796992481202923,,-0.1346749226006192,0.02777777777777779,-0.3827067669172933,-0.21371610845295053,0.43343653250773995,0.1904024767801858,0.16718266253869973
sonnet-4.5-thinking,-0.02631578947368418,-0.15789473684210525,0.1346749226006192,,0.0,0.4473684210526316,0.10526315789473684,0.763157894736842,0.42105263157894735,0.31578947368421056
opus-4.1-thinking,-0.10526315789473684,-0.21052631578947367,-0.02777777777777779,0.0,,0.15789473684210525,-0.052631578947368474,0.42105263157894735,0.07894736842105265,0.26315789473684215
gemini-2.5-flash-thinking,0.10526315789473689,-0.3157894736842105,0.3827067669172933,-0.4473684210526316,-0.15789473684210525,,0.28947368421052627,0.8947368421052632,0.4736842105263158,0.6052631578947368
gemini-2.5-pro-thinking,0.3157894736842105,-0.07894736842105265,0.21371610845295053,-0.10526315789473684,0.052631578947368474,-0.28947368421052627,,0.8947368421052632,0.3684210526315789,0.5789473684210527
ll-3.3-70b-dsR1-thinking,-0.5526315789473685,-0.631578947368421,-0.43343653250773995,-0.763157894736842,-0.42105263157894735,-0.8947368421052632,-0.8947368421052632,,-0.07894736842105265,-0.6842105263157895
qwen-3.0-80b-thinking,-0.31578947368421056,-0.5789473684210527,-0.1904024767801858,-0.42105263157894735,-0.07894736842105265,-0.4736842105263158,-0.3684210526315789,0.07894736842105265,,-0.10526315789473689
deepseek-r1-thinking,-0.23684210526315785,-0.5263157894736842,-0.16718266253869973,-0.31578947368421056,-0.26315789473684215,-0.6052631578947368,-0.5789473684210527,0.6842105263157895,0.10526315789473689,
