,row_mean,col_mean,difference
gpt-oss-120b-thinking,0.6918760866129287,0.39097744360902253,0.3008986430039061
sonnet-4.5-thinking,0.6198830409356726,0.39731682146542824,0.22256621947024435
gemini-2.5-pro-thinking,0.6959064327485379,0.4791777423356371,0.21672869041290083
gemini-2.5-flash-thinking,0.6578947368421052,0.45455304928989143,0.20334168755221377
gpt-oss-20b-thinking,0.5789473684210527,0.5156020682336472,0.06334530018740547
opus-4.1-thinking,0.5,0.44168291098115664,0.05831708901884336
sonnet-3.7-thinking,0.5519334333059823,0.5380116959064326,0.013921737399549716
deepseek-r1-thinking,0.4152046783625731,0.6267629858961129,-0.21155830753353982
qwen-3.0-80b-thinking,0.3654970760233918,0.6381148950808393,-0.2726178190574475
ll-3.3-70b-dsR1-thinking,0.18421052631578946,0.7791537667698658,-0.5949432404540763
