evaluator,performance,n_samples
gpt-oss-120b-thinking,0.7609811396525789,2254
opus-4.1-thinking,0.7107364685004436,2254
gemini-2.5-pro-thinking,0.8007985803016859,2254
qwen-3.0-80b-thinking,0.6764362013259767,2254
deepseek-r1-thinking,0.5713984930744589,2254
kimi-k2-thinking,0.6282766484845125,2254
gpt-4o-mini,0.43966282165039927,2254
gpt-4.1-mini,0.766637089618456,2254
gpt-4o,0.45829636202307,2254
gpt-4.1,0.59094942324756,2254
haiku-3.5,0.497338065661047,2254
sonnet-3.7,0.5222646743301197,2254
sonnet-4.5,0.7914742905268225,2254
opus-4.1,0.8992826312544178,2254
gemini-2.0-flash-lite,0.2630878438331854,2254
gemini-2.0-flash,0.29281277728482696,2254
ll-3.1-8b,0.4028393966282165,2254
ll-3.1-70b,0.4556344276841171,2254
ll-3.1-405b,0.4290150842945874,2254
qwen-2.5-7b,0.48802129547471157,2254
qwen-2.5-72b,0.5146406388642413,2254
qwen-3.0-80b,0.9685004436557232,2254
deepseek-3.1,0.481810115350488,2254
kimi-k2,0.6273291925465838,2254
