evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,0.7040816326530612,0.673469387755102,0.689899688689035,0.7346938775510204,0.7857142857142857,0.8061224489795918,0.5,0.7633756205184776,0.5408163265306123,0.8759944655828433,0.6938775510204082,0.7346938775510204,0.6492563126945694,0.9081632653061225,0.8867173988239364,0.9489795918367347,0.9285714285714286,0.8979591836734694,0.8979591836734694,0.7448979591836735,0.5352819093739191,0.7551020408163265,0.8469387755102041
opus-4.1-thinking,0.7040816326530612,,0.46938775510204084,0.6632653061224489,0.7244897959183674,0.6020408163265306,0.7040816326530612,0.5306122448979592,0.7959183673469388,0.5306122448979592,0.7142857142857143,0.6122448979591837,0.5408163265306123,0.5408163265306123,0.8877551020408163,0.7551020408163265,0.9795918367346939,0.9387755102040817,0.826530612244898,0.9081632653061225,0.8367346938775511,0.5102040816326531,0.7040816326530612,0.8673469387755102
gemini-2.5-pro-thinking,0.5306122448979592,0.47959183673469385,,0.7040816326530612,0.8061224489795918,0.5306122448979592,1.0,0.7653061224489796,0.9897959183673469,0.7346938775510204,1.0,0.9693877551020408,0.5408163265306123,0.5306122448979592,0.9693877551020408,0.8775510204081632,0.9897959183673469,0.9693877551020408,0.9897959183673469,1.0,1.0,0.5408163265306123,0.8673469387755102,0.6326530612244898
qwen-3.0-80b-thinking,0.4530688323791772,0.5102040816326531,0.6827681448519257,,0.7411078717201167,0.43101259642613027,0.875068946497518,0.5770398554902186,0.7250566893424036,0.5413636719055439,0.8261847111726046,0.7244897959183674,0.3977204917054541,0.6380759200231816,0.8546607832322118,0.7448979591836735,0.8848242916039526,0.8013966924378546,0.8040816326530612,0.8571428571428571,0.7896825396825397,0.32086056097315774,0.7556689342403629,0.6216547702824973
deepseek-r1-thinking,0.1836734693877551,0.1326530612244898,0.3163265306122449,0.3469387755102041,,0.20408163265306123,0.8571428571428571,0.3163265306122449,0.8571428571428571,0.42857142857142855,0.9081632653061225,0.7755102040816326,0.24489795918367346,0.20408163265306123,0.9081632653061225,0.7142857142857143,0.9270522684566268,0.7857142857142857,0.8061224489795918,0.9489795918367347,0.9183673469387755,0.15388858246001103,0.7244897959183674,0.47959183673469385
kimi-k2-thinking,0.41736694677871145,0.5389610389610389,0.46630080603670043,0.575235808609158,0.6485532988705687,,0.7223252937538651,0.40055241954938003,0.7173631357304827,0.38712715855573,0.6943387524501327,0.6563625450180073,0.4568666564370108,0.5102040816326531,0.8240524781341109,0.7521218011013929,0.9127290555861984,0.9214929214929215,0.8648526077097506,0.80466472303207,0.7338229744244782,0.3112244897959184,0.6295101416395217,0.504333779843984
gpt-4o-mini,0.3469387755102041,0.17346938775510204,0.45918367346938777,0.3979591836734694,0.3877551020408163,0.40816326530612246,,0.3673469387755102,0.47959183673469385,0.3877551020408163,0.4387755102040816,0.42857142857142855,0.3877551020408163,0.23469387755102042,0.5510204081632653,0.5918367346938775,0.6326530612244898,0.5408163265306123,0.5510204081632653,0.5816326530612245,0.47959183673469385,0.2755102040816326,0.5,0.5102040816326531
gpt-4.1-mini,0.5408163265306123,0.6020408163265306,0.6632653061224489,0.6632653061224489,0.7448979591836735,0.6632653061224489,0.9285714285714286,,0.9183673469387755,0.5,0.9285714285714286,0.9081632653061225,0.5,0.5510204081632653,0.9693877551020408,0.9693877551020408,0.9591836734693877,0.9285714285714286,0.8673469387755102,0.9591836734693877,0.9081632653061225,0.3163265306122449,0.9591836734693877,0.6836734693877551
gpt-4o,0.37755102040816324,0.14285714285714285,0.41836734693877553,0.5204081632653061,0.41836734693877553,0.4387755102040816,0.5102040816326531,0.41836734693877553,,0.35714285714285715,0.4387755102040816,0.4387755102040816,0.32653061224489793,0.2857142857142857,0.5306122448979592,0.5204081632653061,0.7551020408163265,0.5918367346938775,0.5612244897959183,0.5612244897959183,0.5102040816326531,0.37755102040816324,0.5,0.5408163265306123
gpt-4.1,0.5102040816326531,0.5,0.5,0.6326530612244898,0.5306122448979592,0.5102040816326531,0.5918367346938775,0.5,0.5918367346938775,,0.5408163265306123,0.5204081632653061,0.4897959183673469,0.4897959183673469,0.6122448979591837,0.6326530612244898,0.9285714285714286,0.7755102040816326,0.7346938775510204,0.7755102040816326,0.6122448979591837,0.5,0.5306122448979592,0.5816326530612245
