evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,0.18707482993197277,0.8869277440706013,0.8571428571428571,0.7653061224489796,0.8571428571428571,0.826530612244898,0.9586321014892443,0.8469387755102041,0.9489795918367347,0.8333333333333334,0.8571428571428571,0.8979591836734694,0.846111417539989,0.8775510204081632,0.9387755102040817,0.8775510204081632,0.9285714285714286,0.9489795918367347,0.9278796264268419,0.9285714285714286,0.8367346938775511,0.8737090362706127,0.8543279380717804,0.9081632653061225
opus-4.1-thinking,0.5510204081632653,0.6122448979591837,0.41836734693877553,0.6836734693877551,0.826530612244898,0.4387755102040816,0.9285714285714286,0.6224489795918368,0.9489795918367347,0.673469387755102,0.7857142857142857,0.7040816326530612,0.3673469387755102,0.37755102040816324,0.7244897959183674,0.7346938775510204,1.0,0.8673469387755102,0.8571428571428571,0.9795918367346939,0.9081632653061225,0.5612244897959183,0.6020408163265306,0.8469387755102041
gemini-2.5-pro-thinking,0.02040816326530612,0.0,1.0,0.0314396028681743,0.05102040816326531,0.0,0.030612244897959183,0.01020408163265306,0.030612244897959183,0.0,0.28865444482877894,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.5102040816326531,0.09183673469387756,0.05102040816326531,0.336734693877551,0.07246627464545141,0.0,0.0,0.030612244897959183
qwen-3.0-80b-thinking,0.028476506881822496,0.013848396501457725,0.0,0.9224489795918368,0.1041750033346672,0.0,0.0,0.01360544217687075,0.0,0.0,0.1858355745398935,0.0,0.043714001279954486,0.0,0.022809123649459785,0.0,0.5469387755102041,0.11661807580174925,0.1028756957328386,0.21838478981336126,0.0,0.0,0.0,0.061224489795918366
deepseek-r1-thinking,0.02040816326530612,0.01020408163265306,0.030612244897959183,0.04081632653061224,0.9489795918367347,0.05102040816326531,0.06150027578599007,0.030612244897959183,0.08163265306122448,0.05102040816326531,0.16326530612244897,0.04081632653061224,0.01020408163265306,0.02040816326530612,0.061224489795918366,0.05102040816326531,0.4897959183673469,0.11224489795918367,0.10204081632653061,0.21428571428571427,0.17346938775510204,0.061224489795918366,0.030612244897959183,0.10204081632653061
kimi-k2-thinking,0.1525216983345062,0.28718765555002485,0.11864745898359345,0.28609221466364326,0.2202257202257202,0.7984971766484372,0.40337063857801186,0.04081632653061224,0.15215865215865215,0.09280053850625708,0.2925170068027211,0.12260556396471631,0.28656462585034015,0.25170068027210885,0.2618274582560297,0.1984882842025699,0.8070500927643786,0.4800476021674179,0.4229591836734694,0.564625850340136,0.19144800777453835,0.19634934719229305,0.17953388251852462,0.1587110633727175
gpt-4o-mini,0.5102040816326531,0.21428571428571427,0.4897959183673469,0.4387755102040816,0.3979591836734694,0.46938775510204084,0.5510204081632653,0.3967741935483871,0.5645161290322581,0.3774193548387097,0.1870967741935484,0.3032258064516129,0.35161290322580646,0.21935483870967742,0.4838709677419355,0.5225806451612903,0.8483870967741935,0.7451612903225806,0.6806451612903226,0.5220588235294118,0.4963235294117647,0.47794117647058826,0.6066176470588235,0.7794117647058824
gpt-4.1-mini,0.01020408163265306,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,1.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.23469387755102042,0.03676470588235294,0.0,0.014705882352941176,0.0,0.0,0.0,0.022058823529411766
gpt-4o,0.0,0.0,0.01020408163265306,0.030612244897959183,0.0,0.0,0.0,0.0,1.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.040229885057471264,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1,0.02040816326530612,0.0,0.01020408163265306,0.16326530612244897,0.19387755102040816,0.0,0.23504273504273504,0.0,0.27586206896551724,0.9926470588235294,0.43103448275862066,0.14942528735632185,0.017241379310344827,0.0,0.3505747126436782,0.27011494252873564,0.7586206896551724,0.42528735632183906,0.5,0.7126436781609196,0.4489795918367347,0.0,0.10294117647058823,0.051470588235294115
