evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,1.6606697571045604e-10,8.065094010420559e-16,2.4575158375112673e-13,1.3172242120654855e-07,2.4575158375112673e-13,3.6232467291175146e-11,2.378717289651507e-23,1.3988186908802743e-12,4.5236497809156325e-22,7.380354309112728e-12,2.4575158375112673e-13,9.940659465123946e-17,1.3988186908802743e-12,5.9330047473754754e-15,7.09532095861481e-21,5.9330047473754754e-15,9.440274241692034e-20,4.5236497809156325e-22,9.440274241692034e-20,9.440274241692034e-20,7.380354309112728e-12,5.9330047473754754e-15,2.4575158375112673e-13,1.10187438523874e-17
opus-4.1-thinking,0.36335418766405314,0.03336002889694201,0.12929258395357346,0.00035453385598683347,3.6232467291175146e-11,0.2664055944111921,9.440274241692034e-20,0.019690184799846844,4.5236497809156325e-22,0.0007698826407272644,1.0892545009628191e-08,6.572240952992274e-05,0.011174544214771171,0.019690184799846844,1.0112752137598311e-05,3.6886460339466607e-06,6.310887241768095e-30,3.9846743192350404e-14,2.4575158375112673e-13,3.0620424897058794e-26,1.10187438523874e-17,0.2664055944111921,0.05439055827708824,1.3988186908802743e-12
gemini-2.5-pro-thinking,3.0620424897058794e-26,6.310887241768095e-30,6.310887241768095e-30,9.904811308210189e-25,4.5236497809156325e-22,6.310887241768095e-30,9.904811308210189e-25,6.2477783693504135e-28,9.904811308210189e-25,6.310887241768095e-30,2.6402449757572137e-05,6.310887241768095e-30,3.0620424897058794e-26,6.310887241768095e-30,7.09532095861481e-21,6.310887241768095e-30,0.9196068309220428,1.10187438523874e-17,4.5236497809156325e-22,0.0016005802102081264,9.440274241692034e-20,6.310887241768095e-30,6.310887241768095e-30,9.904811308210189e-25
qwen-3.0-80b-thinking,9.904811308210189e-25,6.2477783693504135e-28,6.310887241768095e-30,1.0875246615051457e-18,9.940659465123946e-17,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,1.6606697571045604e-10,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,3.0620424897058794e-26,6.310887241768095e-30,0.36335418766405314,8.065094010420559e-16,9.940659465123946e-17,1.0892545009628191e-08,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,7.09532095861481e-21
deepseek-r1-thinking,3.0620424897058794e-26,6.2477783693504135e-28,9.904811308210189e-25,2.378717289651507e-23,4.5236497809156325e-22,4.5236497809156325e-22,7.09532095861481e-21,9.904811308210189e-25,1.0875246615051457e-18,4.5236497809156325e-22,7.380354309112728e-12,2.378717289651507e-23,6.2477783693504135e-28,3.0620424897058794e-26,7.09532095861481e-21,4.5236497809156325e-22,0.9196068309220428,8.065094010420559e-16,9.940659465123946e-17,1.0892545009628191e-08,3.6232467291175146e-11,7.09532095861481e-21,9.904811308210189e-25,9.940659465123946e-17
kimi-k2-thinking,1.3988186908802743e-12,2.6402449757572137e-05,5.9330047473754754e-15,2.6402449757572137e-05,3.896413240891272e-08,2.8720914669754686e-09,0.0854105891128046,2.378717289651507e-23,1.3988186908802743e-12,1.10187438523874e-17,6.572240952992274e-05,5.9330047473754754e-15,2.6402449757572137e-05,1.2796062450772919e-06,3.6886460339466607e-06,7.127385901074282e-10,7.127385901074282e-10,0.7620362195292438,0.12929258395357346,0.2664055944111921,7.127385901074282e-10,7.127385901074282e-10,1.6606697571045604e-10,7.380354309112728e-12
gpt-4o-mini,0.9196068309220428,1.0892545009628191e-08,0.9196068309220428,0.2664055944111921,0.05439055827708824,0.6137344676301395,0.36335418766405314,0.00033107794393567863,0.026596525269063587,1.870830845823801e-05,5.5964476912041526e-30,3.3348902005920346e-12,1.936407880918652e-07,4.888367408093268e-24,0.6093065950924178,0.460356965785819,1.4168098308856995e-37,1.9557961192516856e-18,1.8501320393215207e-10,0.5048625638301028,0.9516655876680387,0.5048625638301028,0.0005245258121149356,4.5598677547373906e-21
gpt-4.1-mini,6.2477783693504135e-28,6.310887241768095e-30,6.310887241768095e-30,2.378717289651507e-23,6.310887241768095e-30,6.310887241768095e-30,7.24454326306137e-71,2.2958874039497803e-41,7.24454326306137e-71,7.24454326306137e-71,1.702467666819422e-68,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,8.352389719038111e-53,1.3172242120654855e-07,8.586304331238963e-33,2.2958874039497803e-41,2.1390782942600103e-37,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41,9.62796454058168e-36
gpt-4o,6.310887241768095e-30,6.310887241768095e-30,6.2477783693504135e-28,9.904811308210189e-25,6.310887241768095e-30,6.310887241768095e-30,7.24454326306137e-71,7.24454326306137e-71,2.2958874039497803e-41,1.702467666819422e-68,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,7.24454326306137e-71,8.352389719038111e-53,7.387689837903921e-41,1.4616682008316695e-50,8.352389719038111e-53,6.310887241768095e-30,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41,2.2958874039497803e-41
gpt-4.1,3.0620424897058794e-26,6.310887241768095e-30,6.2477783693504135e-28,7.380354309112728e-12,7.127385901074282e-10,6.310887241768095e-30,1.6616224036398731e-16,8.352389719038111e-53,2.901034782387625e-09,3.145365743411199e-39,0.08092659296355391,6.293762699390529e-22,7.334651031773318e-47,8.352389719038111e-53,9.902678209217013e-05,1.078577058580491e-09,4.960971192606209e-12,0.05774745529642935,1.0,1.9303154296651502e-08,0.36335418766405314,2.2958874039497803e-41,1.0997594280179854e-22,3.539726488449058e-30
