evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,,,,,,,,0.02631578947368418,,,,,,,,,,
gpt-4.1-mini,,,,,,,,,,,,,,,,,,,
gpt-4o,0.026315789473684292,-0.13157894736842096,,-0.02631578947368418,-0.026315789473684292,0.026315789473684292,-0.02631578947368418,0.0,0.0,-0.026315789473684292,-0.0789473684210526,-0.07894736842105271,0.10526315789473684,0.0,0.02631578947368418,0.13157894736842102,0.13157894736842102,-0.07894736842105265,-0.07894736842105277
gpt-4.1,0.02631578947368418,0.0,0.052631578947368474,,0.02631578947368418,0.02631578947368418,0.0,0.0,0.0,0.05263157894736836,0.0,0.0,0.07894736842105254,0.07894736842105265,0.10526315789473684,0.026315789473684292,0.026315789473684292,0.0,0.026315789473684292
haiku-3.5,-0.052631578947368474,-0.07894736842105271,0.0,0.07894736842105271,,0.0,0.05263157894736842,0.236842105263158,-0.1842105263157895,-0.07894736842105265,0.10526315789473689,0.10526315789473689,-0.026315789473684292,-0.23684210526315785,0.05263157894736836,-0.10526315789473684,0.0,0.07894736842105265,0.026315789473684292
sonnet-3.7,0.268421052631579,-0.032163742690058506,0.01754385964912286,-0.033625730994152,0.10380116959064323,,-0.02631578947368418,-0.11948790896159328,0.1037593984962406,0.0935672514619883,-0.06899004267425313,0.008534850640113834,0.2543859649122806,0.20321637426900585,0.17836257309941517,0.3084795321637428,0.10526315789473684,-0.00877192982456132,0.16315789473684217
sonnet-4.5,-0.02631578947368418,0.1578947368421053,0.052631578947368474,0.23684210526315796,0.07894736842105254,0.10526315789473684,,0.0,0.10526315789473695,0.1315789473684209,0.1842105263157895,0.07894736842105265,0.0,0.02631578947368418,-0.052631578947368474,0.0,0.052631578947368474,0.1578947368421051,0.13157894736842102
opus-4.1,-0.02631578947368418,-0.10526315789473684,-0.07894736842105265,0.0,0.0,-0.13157894736842102,0.07894736842105265,,0.02631578947368418,0.0,-0.05263157894736836,0.0,0.0,-0.026315789473684403,-0.05263157894736836,0.0,-0.02631578947368418,0.026315789473684292,-0.052631578947368585
gemini-2.0-flash-lite,0.10526315789473684,-0.10526315789473689,0.10526315789473689,-0.10526315789473684,0.13157894736842102,-0.05263157894736842,-0.10526315789473692,-0.05263157894736842,,0.02631578947368418,-0.1315789473684211,-0.05263157894736836,0.13157894736842113,0.02631578947368418,-0.02631578947368418,0.13157894736842113,0.21052631578947367,-0.02631578947368418,0.10526315789473684
gemini-2.0-flash,0.3421052631578947,0.1315789473684211,0.2631578947368421,0.13157894736842102,0.1578947368421053,0.15789473684210534,0.0789473684210526,0.0263157894736842,0.052631578947368474,,0.18421052631578952,0.10526315789473689,0.0,0.13157894736842107,0.13157894736842107,0.10526315789473684,0.13157894736842107,0.1315789473684211,0.3157894736842106
gemini-2.5-flash,-0.02631578947368418,0.0,-0.026315789473684403,0.052631578947368474,0.0,0.02631578947368418,0.05263157894736842,0.026315789473684292,-0.052631578947368585,-0.02631578947368407,,-0.10526315789473684,0.026315789473684403,0.052631578947368474,0.02631578947368418,-0.02631578947368418,-0.05263157894736836,0.0,-0.07894736842105265
gemini-2.5-pro,0.0,0.13157894736842113,0.0,0.1842105263157895,0.0,0.02631578947368418,0.10526315789473684,0.07894736842105265,0.0,0.02631578947368418,0.07894736842105254,,0.0,0.0,0.0,0.0,0.0,0.13157894736842102,-0.02631578947368418
ll-3.1-8b,-0.02631578947368418,-0.2894736842105264,-0.026315789473684126,-0.21052631578947378,-0.1578947368421052,-0.13157894736842107,-0.1842105263157895,-0.21052631578947362,-0.0789473684210526,-0.07894736842105271,-0.21052631578947362,-0.10526315789473689,,-0.05263157894736842,-0.10526315789473689,-0.0789473684210526,-0.05263157894736842,-0.2894736842105263,-0.10526315789473689
ll-3.1-70b,-0.052631578947368474,-0.02631578947368418,-0.026315789473684292,0.0,-0.13157894736842107,-0.026315789473684126,0.0,-0.02631578947368418,0.0,0.0,-0.026315789473684292,-0.052631578947368474,-0.052631578947368474,,-0.026315789473684292,-0.07894736842105265,-0.052631578947368474,0.0,0.0
ll-3.1-405b,0.0,0.05263157894736836,-0.052631578947368474,0.1578947368421052,0.21052631578947367,0.21052631578947367,0.13157894736842113,0.15789473684210525,-0.030701754385964897,0.02631578947368418,0.10526315789473678,0.004385964912280604,-0.07894736842105254,-0.10526315789473684,,-0.02631578947368418,0.0,0.28947368421052644,-0.052631578947368474
qwen-2.5-7b,0.0,0.026315789473684292,0.0,0.026315789473684292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.026315789473684292,0.0
qwen-2.5-72b,-0.1578947368421052,0.026315789473684237,-0.07894736842105277,-0.07894736842105265,0.052631578947368474,0.026315789473684292,-0.02631578947368418,0.0789473684210526,-0.21052631578947367,-0.1578947368421053,-0.05263157894736842,-0.052631578947368474,-0.052631578947368474,-0.1578947368421052,-0.13157894736842113,-0.052631578947368474,,-0.026315789473684292,-0.13157894736842102
qwen-3.0-80b,-0.07894736842105277,-0.21052631578947367,-0.10526315789473684,-0.10526315789473684,-0.13157894736842102,-0.1842105263157895,-0.13157894736842113,-0.07894736842105254,-0.02631578947368418,-0.05263157894736836,-0.1578947368421053,-0.18421052631578938,0.0,-0.05263157894736836,-0.07894736842105265,-0.05263157894736836,-0.1578947368421053,,-0.1578947368421053
deepseek-3.1,0.05263157894736836,-0.10526315789473681,-0.13157894736842102,-0.1315789473684211,-0.05263157894736836,0.02631578947368418,0.026315789473684195,-0.026315789473684195,0.07894736842105265,-0.02631578947368418,0.05263157894736839,-0.07894736842105268,-0.026315789473684403,-0.05263157894736836,-0.07894736842105265,0.0,0.02631578947368418,0.026315789473684202,
