,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,,,,,,,,0.570634881938006,,0.4868396800685366,,,,,,,,
gpt-4.1-mini,,,,,,,,,,,,,,,,,,,
gpt-4o,0.570634881938006,0.05766601237763337,,0.570634881938006,0.6607351535928201,0.570634881938006,0.6607351535928203,1.0,1.0,0.570634881938006,0.18319640413269297,0.08314877539551088,0.10314779946291527,1.0,0.32380587235541847,0.023237265010245367,0.023237265010245305,0.18319640413269297,0.08314877539551088
gpt-4.1,0.32380587235541847,1.0,0.16004928081560948,,0.32380587235541847,0.32380587235541847,1.0,1.0,1.0,0.16004928081560948,1.0,1.0,0.08314877539551088,0.08314877539551088,0.0438940794168621,0.32380587235541847,0.32380587235541847,1.0,0.32380587235541847
haiku-3.5,0.4868396800685366,0.37272383009647003,1.0,0.37272383009647003,,1.0,0.534257132428313,0.005040880378046726,0.0174970652779169,0.2623136191468879,0.32380587235541824,0.16004928081560935,0.7107890461538487,0.005040880378046726,0.5996651568996915,0.16004928081560935,1.0,0.37272383009647003,0.7107890461538487
sonnet-3.7,0.01780217024092476,0.48725413025587183,0.8003507388939297,0.7858755331236813,0.44634438028213597,,0.743710837837966,0.2536507000497792,0.2105263430555547,0.3241743423860388,0.41283711943871015,0.7438426306177046,0.0016264926144197206,0.009345959037030536,0.0700207325926861,0.0003884315319081256,0.4130481244866191,0.7858755331236813,0.2010470932741931
sonnet-4.5,0.32380587235541847,0.031942518689857854,0.4868396800685366,0.0016803548988472013,0.2623136191468879,0.2535047243990502,,1.0,0.10314779946291532,0.09597556733028621,0.03287899446934282,0.4459287806839093,1.0,0.7856437416036663,0.534257132428313,1.0,0.4215075450511595,0.031942518689857854,0.023237265010245346
opus-4.1,0.32380587235541847,0.10314779946291527,0.08314877539551088,1.0,1.0,0.09597556733028621,0.41263741602728277,,0.32380587235541847,1.0,0.4215075450511595,1.0,1.0,0.6607351535928203,0.16004928081560948,1.0,0.32380587235541847,0.6607351535928201,0.32380587235541847
gemini-2.0-flash-lite,0.16004928081560935,0.2535047243990502,0.16004928081560935,0.16004928081560935,0.05766601237763337,0.4215075450511595,0.16004928081560935,0.4215075450511595,,0.7107890461538487,0.05766601237763337,0.4215075450511595,0.09597556733028621,0.743710837837966,0.7674654739270742,0.1334943592084914,0.018785215764954524,0.7107890461538487,0.10314779946291527
gemini-2.0-flash,0.003200757120370782,0.1334943592084914,0.005828837030965598,0.09597556733028621,0.16004928081560948,0.16004928081560948,0.2623136191468879,0.32380587235541847,0.6756379980680016,,0.03287899446934282,0.21015490249604452,1.0,0.1334943592084914,0.2300103495420318,0.2910552369205055,0.2006986622170086,0.09597556733028621,0.012249789943708529
